#Table: J/AJ/137/3100/table4.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
Scl-0328|31B |3287.694|00 59 07.50 -33 45 19.2|19.28| 1.15| 120.0| 0.7| 0.43|0.02| 0.78|0.05|0.103|     |   |     |
Scl-0329|31B |3287.694|00 59 09.56 -33 45 21.0|19.73| 1.11| 122.7| 1.9|     |    |     |    |0.999|     |   |     |
Scl-0330|31B |3287.694|00 59 06.14 -33 44 11.4|19.11| 1.18| 111.5| 1.2|     |    |     |    |0.999|     |   |     |
Scl-0331|31B |3287.694|00 59 08.74 -33 44 11.3|19.18| 1.16| 139.6| 0.9|     |    | 1.05|0.04|0.000|     |   |     |
Scl-0332|31B |3287.694|00 59 07.90 -33 43 34.3|19.39| 1.15| 120.7| 1.5|     |    | 1.36|0.05|0.000|     |   |     |
Scl-0333|31B |3287.694|00 59 03.44 -33 45 50.1|18.59| 1.20| 104.9| 0.6| 0.40|0.02| 0.60|0.03|0.988|     |   |     |
Scl-0334|31B |3287.694|00 58 59.04 -33 45 10.7|19.14| 1.09| 120.0| 0.7| 0.41|0.02| 0.71|0.04|0.649|     |   |     |
Scl-0335|31B |3287.694|00 58 59.03 -33 44 47.5|18.48| 1.20|  90.1| 0.5| 0.40|0.02| 0.52|0.04|0.975|     |   |     |
Scl-0336|31B |3287.694|00 59 00.28 -33 43 14.6|18.10| 1.27| 110.8| 0.6| 0.38|0.02| 0.48|0.04|1.000|     |   |     |
Scl-0337|31B |3287.694|00 59 02.12 -33 42 42.1|19.93| 0.94| 113.9| 3.6|     |    |     |    |0.998|     |   |     |
Scl-0338|4B  |3288.571|01 00 44.77 -33 42 16.5|19.61| 1.02| 102.0| 2.1| 0.34|0.02| 0.35|0.05|1.000|     |   |     |
Scl-0339|4B  |3288.571|01 00 46.66 -33 41 50.9|19.96| 1.07| 118.3| 1.4| 0.41|0.03| 0.39|0.06|1.000|     |   |     |
Scl-0340|4B  |3288.571|01 00 48.14 -33 42 13.3|19.66| 1.02| 108.7| 3.0| 0.37|0.03| 0.46|0.08|1.000|     |   |     |
Scl-0341|4B  |3288.571|01 00 48.22 -33 43 28.8|19.95| 0.92| 114.5| 4.7| 0.29|0.03| 0.28|0.07|1.000|     |   |     |
Scl-0342|4B  |3288.571|01 00 03.41 -33 36 06.6|19.62| 1.02| 126.4| 2.3| 0.28|0.02| 0.31|0.05|1.000|     |   |     |
Scl-0343|4B  |3288.571|01 00 03.27 -33 38 09.6|19.68| 1.14| 123.5| 1.7| 0.41|0.03| 0.35|0.07|1.000|     |   |     |
Scl-0344|4B  |3288.571|01 00 07.00 -33 38 55.3|19.98| 1.07| 121.2| 1.2| 0.36|0.03| 0.46|0.05|1.000|     |   |     |
Scl-0345|4B  |3288.571|01 00 09.06 -33 36 49.6|19.52| 1.16| 104.3| 0.6| 0.40|0.02| 0.44|0.04|1.000|     |   |     |
Scl-0346|4B  |3288.571|01 00 05.27 -33 38 21.6|19.29| 1.16| 110.9| 0.8| 0.37|0.02| 0.34|0.04|1.000|     |   |     |
Scl-0347|4B  |3288.571|01 00 03.30 -33 38 52.0|19.94| 1.12| 133.7| 1.2| 0.32|0.03| 0.44|0.05|0.999|     |   |     |
Scl-0348|4B  |3288.571|01 00 04.69 -33 39 16.6|19.74| 1.14| 122.7| 0.9| 0.34|0.03| 0.44|0.06|1.000|     |   |     |
Scl-0349|4B  |3288.571|01 00 07.15 -33 34 56.2|19.37| 1.09|  93.8| 3.3| 0.35|0.03| 0.26|0.07|0.999|     |   |     |
Scl-0350|4B  |3288.571|01 00 11.45 -33 35 50.6|19.76| 1.07| 109.5| 4.2| 0.37|0.04| 0.33|0.09|1.000|     |   |     |
Scl-0351|4B  |3288.571|01 00 13.16 -33 36 38.6|19.85| 1.14| 113.7| 0.7| 0.49|0.02| 0.48|0.05|1.000|     |   |     |
Scl-0352|4B  |3288.571|01 00 11.32 -33 37 08.7|19.53| 1.08| 114.5| 0.8| 0.35|0.02| 0.47|0.04|1.000|     |   |     |
Scl-0353|4B  |3288.571|01 00 12.90 -33 37 28.5|19.59| 1.11| 117.5| 1.1| 0.42|0.03| 0.63|0.05|0.991|     |   |     |
Scl-0354|4B  |3288.571|01 00 13.41 -33 38 15.7|19.47| 1.07| 121.8| 1.0| 0.42|0.02| 0.46|0.05|1.000|     |   |     |
Scl-0355|4B  |3288.571|01 00 22.08 -33 42 39.5|19.48| 1.15| 116.9| 0.7| 0.40|0.02| 0.36|0.04|1.000|116.7|0.6| 0.38|0.04
Scl-0355|5B  |3289.593|01 00 22.08 -33 42 39.5|19.48| 1.15| 116.2| 1.1| 0.47|0.03| 0.43|0.06|     |     |   |     |
Scl-0356|4B  |3288.571|01 00 23.25 -33 42 31.5|19.36| 1.10| 110.6| 0.6| 0.41|0.02| 0.37|0.04|1.000|110.3|0.5| 0.37|0.03
Scl-0356|5B  |3289.593|01 00 23.25 -33 42 31.5|19.36| 1.10| 109.1| 1.2| 0.45|0.03| 0.37|0.06|     |     |   |     |
Scl-0357|4B  |3288.571|01 00 25.91 -33 42 00.7|19.46| 1.14|  92.6| 1.0| 0.31|0.02| 0.43|0.04|0.998|     |   |     |
Scl-0358|4B  |3288.571|01 00 23.61 -33 41 58.0|19.98| 1.09| 112.4| 1.2| 0.32|0.02| 0.39|0.05|1.000|111.7|0.9| 0.46|0.04
Scl-0358|1B  |4017.555|01 00 23.61 -33 41 58.0|19.98| 1.09| 111.0| 1.3| 0.52|0.10| 0.91|0.12|     |     |   |     |
Scl-0359|4B  |3288.571|01 00 25.98 -33 41 17.0|19.26| 1.08| 104.3| 0.6| 0.39|0.02| 0.36|0.04|1.000|104.8|0.4| 0.36|0.03
Scl-0359|1B  |4017.555|01 00 25.98 -33 41 17.0|19.26| 1.08| 105.6| 0.7| 0.39|0.03| 0.36|0.07|     |     |   |     |
Scl-0360|4B  |3288.571|01 00 24.22 -33 40 58.0|19.39| 1.23| 107.3| 0.4| 0.35|0.02| 0.40|0.03|1.000|     |   |     |
Scl-0361|4B  |3288.571|01 00 27.67 -33 40 11.3|19.96| 0.98| 110.0| 1.1| 0.33|0.02| 0.33|0.04|1.000|     |   |     |
Scl-0362|4B  |3288.571|01 00 23.65 -33 40 08.1|19.22| 1.14| 102.0| 0.7| 0.32|0.02| 0.39|0.04|1.000|     |   |     |
Scl-0363|4B  |3288.571|01 00 16.71 -33 42 45.5|19.41| 1.14| 114.4| 0.5| 0.42|0.02| 0.40|0.04|1.000|     |   |     |
Scl-0364|4B  |3288.571|01 00 17.13 -33 42 03.9|19.22| 1.12| 112.4| 0.6| 0.39|0.02| 0.36|0.04|1.000|     |   |     |
Scl-0365|4B  |3288.571|01 00 09.49 -33 41 41.4|19.60| 0.96| 102.8| 2.5| 0.34|0.03| 0.32|0.06|1.000|106.0|1.6| 0.34|0.05
Scl-0365|1R  |4017.555|01 00 09.49 -33 41 41.4|19.60| 0.96| 108.5| 2.1| 0.32|0.06| 0.44|0.12|     |     |   |     |
Scl-0366|4B  |3288.571|01 00 10.85 -33 41 25.6|19.82| 1.12| 114.5| 0.8| 0.41|0.02| 0.45|0.05|1.000|     |   |     |
Scl-0367|4B  |3288.571|01 00 12.17 -33 41 19.9|19.90| 1.15| 129.2| 0.8| 0.36|0.02| 0.36|0.04|1.000|     |   |     |
Scl-0368|4B  |3288.571|01 00 15.47 -33 41 27.0|19.43| 1.08| 111.7| 0.8| 0.35|0.02| 0.30|0.04|1.000|     |   |     |
Scl-0369|4B  |3288.571|01 00 18.53 -33 41 19.5|19.99| 0.92| 112.4| 1.9| 0.33|0.03| 0.38|0.06|1.000|     |   |     |
Scl-0370|4B  |3288.571|01 00 11.19 -33 40 38.6|19.44| 1.06| 104.9| 2.3| 0.24|0.02| 0.25|0.05|1.000|     |   |     |
Scl-0371|4B  |3288.571|01 00 10.31 -33 33 20.1|19.43| 1.15| 116.5| 0.6| 0.40|0.02| 0.41|0.04|1.000|     |   |     |
Scl-0372|4B  |3288.571|01 00 09.76 -33 33 50.5|19.63| 1.13| 103.3| 2.4| 0.31|0.03| 0.36|0.07|1.000|     |   |     |
Scl-0373|4B  |3288.571|01 00 08.75 -33 34 26.0|19.55| 1.05| 116.4| 1.7| 0.29|0.02| 0.28|0.04|1.000|     |   |     |
Scl-0374|4B  |3288.571|01 00 20.66 -33 37 18.4|19.84| 1.08| 106.6| 0.7| 0.32|0.02| 0.42|0.04|1.000|     |   |     |
Scl-0375|4B  |3288.571|01 00 23.69 -33 38 03.1|19.47| 1.15| 117.8| 1.0| 0.40|0.03| 0.51|0.05|1.000|     |   |     |
Scl-0376|4B  |3288.571|01 00 22.37 -33 38 07.8|19.32| 1.15| 115.0| 1.3| 0.28|0.02| 0.33|0.04|1.000|     |   |     |
Scl-0377|4B  |3288.571|01 00 24.38 -33 39 33.3|19.47| 0.97| 115.6| 0.7| 0.36|0.02| 0.31|0.04|1.000|     |   |     |
Scl-0378|4B  |3288.571|01 00 15.01 -33 32 59.5|19.26| 1.06| 132.0| 2.1| 0.29|0.02| 0.41|0.05|0.999|     |   |     |
Scl-0379|4B  |3288.571|01 00 20.88 -33 33 01.7|19.87| 1.09| 106.1| 2.0| 0.33|0.03| 0.41|0.06|1.000|     |   |     |
Scl-0380|4B  |3288.571|01 00 17.36 -33 33 39.4|19.85| 1.16| 108.2| 2.6| 0.37|0.03| 0.35|0.06|1.000|     |   |     |
Scl-0381|4B  |3288.571|01 00 19.99 -33 35 07.0|19.21| 1.12| 120.1| 1.1| 0.28|0.02| 0.32|0.04|1.000|     |   |     |
Scl-0382|4B  |3288.571|01 00 19.44 -33 35 55.4|19.24| 1.11| 116.3| 0.7| 0.35|0.02| 0.38|0.04|1.000|     |   |     |
Scl-0383|4B  |3288.571|01 00 23.09 -33 36 38.2|19.92| 1.08| 111.7| 1.2| 0.38|0.02| 0.44|0.05|1.000|     |   |     |
Scl-0384|4B  |3288.571|01 00 22.15 -33 37 32.2|19.50| 1.12| 110.9| 0.9| 0.35|0.02| 0.34|0.04|1.000|     |   |     |
Scl-0385|4B  |3288.571|01 00 36.94 -33 44 43.0|19.93| 1.08| 106.6| 2.7| 0.37|0.03| 0.38|0.05|1.000|     |   |     |
Scl-0386|4B  |3288.571|01 00 33.59 -33 44 36.9|19.95| 1.12| 115.0| 0.9| 0.42|0.02| 0.43|0.04|1.000|114.8|0.8| 0.42|0.04
Scl-0386|5B  |3289.593|01 00 33.59 -33 44 36.9|19.95| 1.12| 114.3| 1.3| 0.37|0.04| 0.40|0.06|     |     |   |     |
Scl-0387|4B  |3288.571|01 00 35.68 -33 43 59.3|19.92| 1.00| 113.5| 1.5| 0.29|0.02| 0.34|0.05|1.000|113.8|1.2| 0.33|0.03
Scl-0387|5B  |3289.593|01 00 35.68 -33 43 59.3|19.92| 1.00| 114.3| 2.0| 0.29|0.03| 0.31|0.05|     |     |   |     |
Scl-0388|4B  |3288.571|01 00 34.09 -33 43 16.6|20.00| 1.07| 110.7| 2.0| 0.43|0.03| 0.37|0.07|1.000|110.8|1.8| 0.38|0.05
Scl-0388|5B  |3289.593|01 00 34.09 -33 43 16.6|20.00| 1.07| 111.3| 4.0| 0.34|0.04| 0.40|0.07|     |     |   |     |
Scl-0389|4B  |3288.571|01 00 32.68 -33 42 47.9|19.91| 1.13| 119.8| 0.8| 0.38|0.02| 0.40|0.04|1.000|119.1|0.7| 0.39|0.03
Scl-0389|5B  |3289.593|01 00 32.68 -33 42 47.9|19.91| 1.13| 117.6| 1.2| 0.33|0.03| 0.37|0.06|     |     |   |     |
Scl-0390|4B  |3288.571|01 00 36.86 -33 42 37.2|19.42| 1.07| 112.9| 1.4| 0.37|0.02| 0.29|0.05|1.000|110.2|0.6| 0.37|0.03
Scl-0390|5B  |3289.593|01 00 36.86 -33 42 37.2|19.42| 1.07| 109.6| 0.7| 0.33|0.02| 0.42|0.04|     |     |   |     |
Scl-0391|4B  |3288.571|01 00 34.11 -33 41 47.9|19.60| 1.13| 111.3| 1.1| 0.34|0.02| 0.36|0.05|1.000|     |   |     |
Scl-0392|4B  |3288.571|01 00 24.23 -33 44 08.7|19.45| 1.18| 102.0| 0.6| 0.42|0.02| 0.37|0.03|1.000|101.2|0.5| 0.40|0.03
Scl-0392|5B  |3289.593|01 00 24.23 -33 44 08.7|19.45| 1.18| 100.0| 0.8| 0.41|0.02| 0.44|0.05|     |     |   |     |
Scl-0393|4B  |3288.571|01 00 25.41 -33 43 58.2|19.37| 1.20| 107.6| 0.7| 0.39|0.02| 0.42|0.04|1.000|106.5|0.5| 0.46|0.03
Scl-0393|5B  |3289.593|01 00 25.41 -33 43 58.2|19.37| 1.20| 105.5| 0.6| 0.38|0.02| 0.49|0.04|     |     |   |     |
Scl-0394|4B  |3288.571|01 00 29.05 -33 41 54.2|19.36| 1.13| 112.2| 0.6| 0.34|0.02| 0.41|0.03|1.000|     |   |     |
Scl-0395|4B  |3288.571|01 00 30.26 -33 41 23.3|19.92| 1.05| 101.4| 1.4| 0.36|0.02| 0.33|0.05|1.000|100.5|1.2| 0.34|0.05
Scl-0395|1B  |4017.555|01 00 30.26 -33 41 23.3|19.92| 1.05|  97.5| 2.4| 0.36|0.08| 0.43|0.18|     |     |   |     |
Scl-0396|4B  |3288.571|01 00 28.97 -33 40 31.1|19.37| 1.19| 114.9| 0.5| 0.43|0.01| 0.44|0.03|1.000|     |   |     |
Scl-0397|4B  |3288.571|01 00 29.58 -33 39 05.8|19.48| 1.04| 122.1| 1.3| 0.36|0.02| 0.40|0.05|1.000|121.0|0.9| 0.39|0.04
Scl-0397|1B  |4017.555|01 00 29.58 -33 39 05.8|19.48| 1.04| 120.0| 1.2| 0.38|0.04| 0.39|0.08|     |     |   |     |
Scl-0398|4B  |3288.571|01 00 30.26 -33 38 48.8|19.41| 1.02| 108.7| 0.7| 0.41|0.02| 0.45|0.03|1.000|     |   |     |
Scl-0399|4B  |3288.571|01 00 22.14 -33 31 09.8|19.74| 1.07| 119.0| 3.9| 0.32|0.03| 0.23|0.06|1.000|     |   |     |
Scl-0400|4B  |3288.571|01 00 23.49 -33 31 23.9|19.94| 0.94|  99.9| 1.8| 0.34|0.03| 0.44|0.06|0.999|     |   |     |
Scl-0401|4B  |3288.571|01 00 31.59 -33 34 11.1|19.97| 1.11| 115.4| 1.3| 0.39|0.02| 0.40|0.05|1.000|     |   |     |
Scl-0402|4B  |3288.571|01 00 32.73 -33 34 19.8|19.72| 1.06| 100.5| 1.1| 0.34|0.02| 0.48|0.04|0.999|     |   |     |
Scl-0403|4B  |3288.571|01 00 25.70 -33 35 14.4|19.82| 1.12| 121.3| 1.8| 0.28|0.03| 0.42|0.05|1.000|     |   |     |
Scl-0404|4B  |3288.571|01 00 37.65 -33 31 46.3|19.95| 1.09| 118.8| 2.6| 0.30|0.03| 0.40|0.06|1.000|     |   |     |
Scl-0405|4B  |3288.571|01 00 39.43 -33 34 41.0|19.77| 0.99|  94.5| 1.1| 0.36|0.02| 0.40|0.05|0.999|     |   |     |
Scl-0406|4B  |3288.571|01 00 39.40 -33 35 05.4|19.34| 1.13| 119.8| 1.2| 0.34|0.02| 0.40|0.04|1.000|     |   |     |
Scl-0407|4B  |3288.571|01 00 34.10 -33 35 08.7|19.36| 1.17| 124.2| 2.0| 0.31|0.02| 0.34|0.04|1.000|     |   |     |
Scl-0408|4B  |3288.571|01 00 36.25 -33 36 07.7|19.93| 1.07| 125.9| 0.9| 0.35|0.03| 0.38|0.05|1.000|     |   |     |
Scl-0409|4B  |3288.571|01 00 37.22 -33 36 30.5|19.41| 1.02| 108.0| 3.2| 0.27|0.03| 0.41|0.05|1.000|     |   |     |
Scl-0410|4B  |3288.571|01 00 39.72 -33 39 12.4|19.64| 1.00| 111.6| 2.6| 0.30|0.03| 0.31|0.05|1.000|111.2|2.1| 0.30|0.05
Scl-0410|1B  |4017.555|01 00 39.72 -33 39 12.4|19.64| 1.00| 110.5| 3.7| 0.34|0.07| 0.22|0.20|     |     |   |     |
Scl-0411|4B  |3288.571|01 00 40.01 -33 38 40.7|19.59| 1.04| 106.7| 0.9| 0.38|0.02| 0.38|0.04|1.000|     |   |     |
Scl-0412|4B  |3288.571|01 00 40.12 -33 44 40.8|19.36| 1.16|  96.2| 1.3| 0.39|0.02| 0.31|0.05|1.000| 99.6|0.8| 0.35|0.03
Scl-0412|5B  |3289.593|01 00 40.12 -33 44 40.8|19.36| 1.16| 101.8| 1.0| 0.36|0.02| 0.37|0.04|     |     |   |     |
Scl-0413|4B  |3288.571|01 00 42.49 -33 43 54.8|19.99| 1.12| 110.8| 1.3| 0.31|0.03| 0.38|0.05|1.000|     |   |     |
Scl-0414|4B  |3288.571|01 00 38.42 -33 43 50.1|19.84| 0.98| 105.8| 1.5| 0.36|0.03| 0.25|0.06|1.000|105.3|1.0| 0.37|0.04
Scl-0414|5B  |3289.593|01 00 38.42 -33 43 50.1|19.84| 0.98| 104.1| 1.7| 0.30|0.03| 0.46|0.05|     |     |   |     |
Scl-0414|1B  |4017.555|01 00 38.42 -33 43 50.1|19.84| 0.98| 106.6| 2.6| 0.23|0.07| 0.42|0.13|     |     |   |     |
Scl-0415|4B  |3288.571|01 00 41.08 -33 42 33.2|19.82| 0.96| 116.9| 1.5| 0.35|0.03| 0.39|0.06|1.000|     |   |     |
Scl-0416|4B  |3288.571|01 00 39.19 -33 41 36.9|19.91| 1.06| 109.4| 1.3| 0.32|0.03| 0.39|0.05|1.000|     |   |     |
Scl-0417|4B  |3288.571|01 00 41.57 -33 41 26.9|19.92| 1.08| 119.4| 1.3| 0.36|0.03| 0.24|0.06|1.000|     |   |     |
Scl-0418|4B  |3288.571|01 00 37.52 -33 40 36.0|19.54| 1.10|  99.0| 0.8| 0.35|0.02| 0.41|0.04|1.000| 98.2|0.6| 0.40|0.03
Scl-0418|1B  |4017.555|01 00 37.52 -33 40 36.0|19.54| 1.10|  97.0| 0.9| 0.35|0.04| 0.39|0.09|     |     |   |     |
Scl-0419|4B  |3288.571|01 00 40.38 -33 30 12.7|19.35| 1.04| 117.6| 2.4| 0.23|0.04| 0.36|0.08|1.000|     |   |     |
Scl-0420|4B  |3288.571|01 00 46.81 -33 34 11.4|19.58| 1.11| 107.9| 1.2| 0.37|0.02| 0.41|0.05|1.000|     |   |     |
Scl-0421|4B  |3288.571|01 00 48.54 -33 35 13.1|19.76| 1.09| 121.8| 1.3| 0.33|0.02| 0.34|0.05|1.000|     |   |     |
Scl-0422|4B  |3288.571|01 00 44.44 -33 35 53.6|19.70| 1.06| 118.6| 3.6| 0.27|0.03| 0.30|0.07|1.000|     |   |     |
Scl-0423|4B  |3288.571|01 00 43.84 -33 37 43.8|19.73| 1.14| 115.3| 1.8| 0.33|0.03| 0.29|0.06|1.000|     |   |     |
Scl-0424|4B  |3288.571|01 00 50.26 -33 31 32.0|19.82| 1.03|  87.1| 3.6| 0.16|0.05| 0.40|0.09|0.990|     |   |     |
Scl-0425|4B  |3288.571|01 01 06.58 -33 33 19.1|19.73| 1.12| 113.8| 0.9| 0.33|0.02| 0.49|0.04|0.999|     |   |     |
Scl-0426|4B  |3288.571|01 00 58.23 -33 36 15.1|19.81| 1.09| 110.5| 4.3| 0.25|0.04| 0.26|0.08|1.000|     |   |     |
Scl-0427|4B  |3288.571|01 00 48.71 -33 36 50.2|19.89| 1.07| 119.0| 2.7| 0.31|0.04| 0.35|0.07|1.000|     |   |     |
Scl-0428|4B  |3288.571|01 00 48.72 -33 37 50.7|19.87| 1.01|  99.1| 2.2| 0.32|0.03| 0.27|0.06|1.000|     |   |     |
Scl-0429|4B  |3288.571|01 00 51.90 -33 40 36.4|19.41| 1.04| 114.2| 1.6| 0.40|0.02| 0.61|0.06|0.996|     |   |     |
Scl-0430|4R  |3288.571|01 00 14.69 -33 39 57.7|17.84| 1.46| 118.1| 1.0| 0.44|0.02| 0.54|0.08|0.990|117.8|0.4| 0.61|0.03
Scl-0430|1B  |4017.555|01 00 14.69 -33 39 57.7|17.84| 1.46| 117.7| 0.4| 0.52|0.01| 0.62|0.03|     |     |   |     |
Scl-0431|4R  |3288.571|01 00 13.43 -33 38 56.2|18.93| 1.24| 116.0| 3.0| 0.30|0.04| 0.58|0.09|1.000|111.6|0.5| 0.50|0.04
Scl-0431|1B  |4017.555|01 00 13.43 -33 38 56.2|18.93| 1.24| 111.4| 0.5| 0.46|0.02| 0.48|0.05|     |     |   |     |
Scl-0432|4R  |3288.571|01 00 54.61 -33 42 34.0|18.81| 1.14|  98.5| 6.7| 0.41|0.04| 0.45|0.10|0.999|102.0|1.6| 0.47|0.07
Scl-0432|1B  |4017.555|01 00 54.61 -33 42 34.0|18.81| 1.14| 102.2| 1.7| 0.41|0.05| 0.48|0.09|     |     |   |     |
Scl-0433|4R  |3288.571|01 00 13.61 -33 36 05.1|18.54| 1.24| 129.6| 2.1| 0.38|0.02| 0.36|0.08|1.000|     |   |     |
Scl-0434|4R  |3288.571|01 00 09.18 -33 36 09.3|18.00| 1.34| 120.7| 1.3| 0.37|0.02| 0.47|0.08|1.000|     |   |     |
Scl-0435|4R  |3288.571|01 00 15.11 -33 36 25.7|19.01| 1.16|  99.3| 4.3| 0.33|0.03| 0.49|0.09|0.999|     |   |     |
Scl-0436|4R  |3288.571|01 00 14.81 -33 36 49.8|18.05| 1.34|  99.5| 1.5| 0.40|0.02| 0.44|0.08|0.999|     |   |     |
Scl-0437|4R  |3288.571|01 00 11.79 -33 42 17.0|17.89| 1.45| 116.5| 1.3| 0.45|0.02| 0.57|0.08|0.999|     |   |     |
Scl-0438|4R  |3288.571|01 00 12.95 -33 42 03.9|18.08| 1.24| 108.4| 2.4| 0.34|0.02| 0.33|0.08|1.000|     |   |     |
Scl-0439|4R  |3288.571|01 00 14.42 -33 41 46.9|18.78| 1.19| 101.1| 6.8| 0.37|0.04| 0.12|0.11|1.000|     |   |     |
Scl-0440|4R  |3288.571|01 00 10.71 -33 40 57.9|17.61| 1.51|  88.4| 7.8| 0.19|0.10| 0.14|0.09|0.998|     |   |     |
Scl-0441|4R  |3288.571|01 00 17.52 -33 39 02.1|18.96| 1.23| 124.1| 3.2| 0.41|0.03| 0.55|0.09|1.000|121.7|1.8| 0.49|0.07
Scl-0441|1R  |4017.555|01 00 17.52 -33 39 02.1|18.96| 1.23| 120.6| 2.2| 0.37|0.05| 0.40|0.11|     |     |   |     |
Scl-0442|4R  |3288.571|01 00 18.85 -33 37 57.7|18.42| 1.28| 100.5| 3.8| 0.42|0.02| 0.48|0.08|0.999|     |   |     |
Scl-0443|4R  |3288.571|01 00 07.57 -33 40 52.5|18.85| 1.21| 103.2| 2.5| 0.41|0.03| 0.41|0.09|1.000|103.9|1.4| 0.41|0.07
Scl-0443|1R  |4017.555|01 00 07.57 -33 40 52.5|18.85| 1.21| 104.2| 1.7| 0.38|0.05| 0.40|0.11|     |     |   |     |
Scl-0444|4R  |3288.571|01 00 11.30 -33 39 35.7|18.25| 1.25| 110.4| 3.6| 0.35|0.03| 0.39|0.09|1.000|     |   |     |
Scl-0445|4R  |3288.571|01 00 06.74 -33 39 26.3|18.84| 1.18| 123.9| 8.4| 0.51|0.03| 0.50|0.10|0.999|     |   |     |
Scl-0446|4R  |3288.571|01 00 09.82 -33 37 53.9|19.13| 1.12| 111.4|11.2| 0.29|0.05| 0.20|0.13|1.000|     |   |     |
Scl-0447|4R  |3288.571|01 00 05.83 -33 37 38.8|19.62| 1.11| 116.0| 4.3| 0.39|0.03| 0.42|0.10|1.000|     |   |     |
Scl-0448|4R  |3288.571|01 00 21.08 -33 33 46.4|18.18| 1.33| 110.8| 1.4| 0.37|0.02| 0.54|0.08|0.999|     |   |     |
Scl-0449|4R  |3288.571|01 00 22.08 -33 34 11.7|18.33| 1.34| 107.1| 1.1| 0.42|0.02| 0.63|0.08|0.996|     |   |     |
Scl-0450|4R  |3288.571|01 00 18.38 -33 35 23.8|19.00| 1.18| 110.5| 7.9| 0.33|0.04| 0.37|0.11|1.000|     |   |     |
Scl-0451|4R  |3288.571|01 00 20.94 -33 36 05.7|18.26| 1.25| 124.5| 2.5| 0.41|0.03| 0.43|0.09|1.000|     |   |     |
Scl-0452|4R  |3288.571|01 00 28.84 -33 36 59.8|19.04| 1.19| 123.0| 2.9| 0.42|0.03| 0.39|0.09|1.000|     |   |     |
Scl-0453|4R  |3288.571|01 00 26.03 -33 37 02.3|18.83| 1.26| 124.7| 3.6| 0.44|0.03| 0.45|0.09|1.000|     |   |     |
Scl-0454|4R  |3288.571|01 00 25.78 -33 30 25.4|17.76| 1.32| 121.0| 1.9| 0.39|0.02| 0.34|0.08|1.000|     |   |     |
Scl-0455|4R  |3288.571|01 00 23.88 -33 30 51.5|18.30| 1.23| 115.0| 7.4| 0.35|0.03| 0.32|0.09|1.000|     |   |     |
Scl-0456|4R  |3288.571|01 00 26.19 -33 31 38.8|17.87| 1.30| 124.2| 1.2| 0.34|0.02| 0.39|0.08|1.000|     |   |     |
Scl-0457|4R  |3288.571|01 00 26.22 -33 33 50.4|18.73| 1.28| 146.3| 6.2| 0.35|0.04| 0.70|0.10|0.614|     |   |     |
Scl-0458|4R  |3288.571|01 00 29.55 -33 34 18.0|19.11| 1.07| 109.4| 4.7| 0.33|0.04| 0.49|0.09|1.000|     |   |     |
Scl-0459|4R  |3288.571|01 00 28.18 -33 35 35.2|18.46| 1.22| 121.9| 2.0| 0.35|0.02| 0.34|0.08|1.000|122.1|1.7| 0.33|0.06
Scl-0459|1R  |4017.555|01 00 28.18 -33 35 35.2|18.46| 1.22| 122.6| 3.5| 0.30|0.04| 0.31|0.09|     |     |   |     |
Scl-0460|4R  |3288.571|01 00 29.36 -33 35 53.7|18.84| 1.13|  94.1|11.6| 0.34|0.05| 0.60|0.10|0.991|     |   |     |
Scl-0461|4R  |3288.571|01 00 28.99 -33 36 09.2|19.03| 1.20| 110.1| 9.4| 0.49|0.07| 0.49|0.13|0.999|     |   |     |
Scl-0462|4R  |3288.571|01 00 25.08 -33 43 33.4|18.20| 1.27| 120.8| 1.7| 0.37|0.02| 0.35|0.08|1.000|120.9|1.7| 0.31|0.06
Scl-0462|5R  |3289.593|01 00 25.08 -33 43 33.4|18.20| 1.27| 125.1| 9.8| 0.37|0.03| 0.26|0.09|     |     |   |     |
Scl-0463|4R  |3288.571|01 00 25.04 -33 42 28.2|18.28| 1.32| 125.4| 2.6| 0.37|0.02| 0.37|0.08|1.000|127.0|1.7| 0.42|0.06
Scl-0463|5R  |3289.593|01 00 25.04 -33 42 28.2|18.28| 1.32| 128.2| 2.2| 0.37|0.03| 0.47|0.09|     |     |   |     |
Scl-0464|4R  |3288.571|01 00 25.93 -33 40 14.9|18.96| 1.16| 116.0| 9.8| 0.27|0.04| 0.26|0.09|1.000|     |   |     |
Scl-0465|4R  |3288.571|01 00 25.00 -33 39 48.0|18.76| 1.16| 108.7| 5.1| 0.26|0.03| 0.36|0.09|1.000|     |   |     |
Scl-0466|4R  |3288.571|01 00 27.22 -33 39 46.2|18.51| 1.20|  94.4| 2.5| 0.34|0.03| 0.44|0.09|0.998|     |   |     |
Scl-0467|4R  |3288.571|01 00 17.51 -33 43 07.7|18.77| 1.29| 125.8| 3.1| 0.36|0.03| 0.58|0.09|0.998|     |   |     |
