Target	Field	HJD	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Vmag	V-I	HV	e_HV	SigFe	e_SigFe	SigMg	e_SigMg	Mmb	<HV>	e_<HV>	<SigMg>	e_<SigMg>
---	---	d	h	min	s	---	deg	arcmin	arcsec	mag	mag	km/s	km/s	0.1nm	0.1nm	0.1nm	0.1nm	---	km/s	km/s	0.1nm	0.1nm
--------	----	--------	--	--	-----	-	--	--	----	-----	-----	------	----	-----	----	-----	----	-----	-----	---	-----	----
Car-0365	47B 	3409.650	06	40	21.95	-	51	09	31.6	20.70	 1.08	  65.0	 3.5	 0.38	0.06	 0.96	0.08	0.000	     	   	     	
Car-0366	47B 	3409.650	06	40	30.22	-	51	12	35.0	19.78	 1.27	  34.2	 2.8	 0.36	0.04	 0.96	0.05	0.000	     	   	     	
Car-0367	47B 	3409.650	06	40	21.69	-	51	12	29.5	20.53	 1.05	 103.5	 1.6	 0.33	0.05	 0.82	0.09	0.000	     	   	     	
Car-0368	47B 	3409.650	06	40	14.97	-	51	13	00.1	20.13	 0.89	 208.9	 3.2	 0.43	0.04	 0.62	0.07	0.303	     	   	     	
Car-0369	47B 	3409.650	06	40	16.09	-	51	13	12.9	19.76	 1.15	  83.8	 2.0	 0.33	0.03	 1.11	0.02	0.000	     	   	     	
Car-0370	47B 	3409.650	06	40	22.65	-	51	13	50.5	20.27	 0.96	 225.5	 2.1	 0.34	0.03	 0.27	0.08	1.000	     	   	     	
Car-0371	47B 	3409.650	06	40	11.21	-	51	14	52.1	19.72	 1.06	  67.2	 0.6	 0.41	0.02	 0.86	0.03	0.000	     	   	     	
Car-0372	47B 	3409.650	06	40	07.41	-	51	22	36.2	19.62	 0.95	  56.9	 0.8	 0.50	0.03	 0.94	0.05	0.000	     	   	     	
Car-0373	47B 	3409.650	06	40	04.28	-	51	20	58.2	19.69	 0.99	  84.8	 2.2	 0.22	0.05	 1.03	0.04	0.000	     	   	     	
Car-0374	47B 	3409.650	06	40	13.05	-	51	20	17.5	20.47	 1.24	  52.1	 2.2	 0.39	0.07	 0.76	0.11	0.000	     	   	     	
Car-0375	47B 	3409.650	06	40	15.54	-	51	17	28.4	18.85	 1.14	  33.4	 0.6	 0.37	0.02	 0.94	0.02	0.000	     	   	     	
Car-0376	47B 	3409.650	06	40	16.89	-	51	16	06.7	20.13	 0.79	  67.8	 0.9	 0.31	0.03	 0.71	0.04	0.000	     	   	     	
Car-0377	47B 	3409.650	06	40	16.41	-	51	15	47.3	19.79	 1.04	 220.2	 1.1	 0.34	0.02	 0.40	0.04	1.000	     	   	     	
Car-0378	47B 	3409.650	06	39	55.13	-	51	19	18.9	19.61	 1.10	  52.4	 2.1	 0.36	0.03	 0.84	0.04	0.000	     	   	     	
Car-0379	47B 	3409.650	06	39	55.55	-	51	18	40.6	19.46	 1.18	  36.5	 1.0	 0.32	0.03	 0.92	0.04	0.000	     	   	     	
Car-0380	47B 	3409.650	06	39	58.01	-	51	17	15.3	19.95	 1.19	 113.6	 2.1	 0.38	0.04	 0.97	0.04	0.000	     	   	     	
Car-0381	47B 	3409.650	06	39	49.32	-	51	16	49.3	20.59	 0.97	 107.4	 1.3	 0.42	0.03	 0.94	0.04	0.000	     	   	     	
Car-0382	47B 	3409.650	06	39	50.31	-	51	16	18.9	19.24	 1.10	 215.8	 2.5	 0.23	0.04	 0.46	0.07	0.995	     	   	     	
Car-0383	47B 	3409.650	06	39	48.06	-	51	15	41.5	18.97	 1.27	  -9.6	 1.8	 0.39	0.02	 0.86	0.03	0.000	     	   	     	
Car-0384	47B 	3409.650	06	40	31.30	-	51	12	03.5	19.63	 1.18	  74.9	 1.4	 0.36	0.02	 0.89	0.03	0.000	     	   	     	
Car-0385	47B 	3409.650	06	40	33.56	-	51	12	39.5	20.58	 0.96	 215.0	 4.6	 0.29	0.04	 0.21	0.09	1.000	     	   	     	
Car-0386	47B 	3409.650	06	40	42.41	-	51	11	03.3	20.73	 1.17	  64.6	 3.1	 0.33	0.06	 1.02	0.07	0.000	     	   	     	
Car-0387	47B 	3409.650	06	40	42.02	-	51	13	57.6	20.02	 0.97	 103.6	 2.0	 0.40	0.04	 0.53	0.09	0.000	     	   	     	
Car-0388	47B 	3409.650	06	40	32.16	-	51	14	23.5	20.28	 0.83	 194.8	 2.1	 0.38	0.03	 0.84	0.04	0.000	     	   	     	
Car-0389	47B 	3409.650	06	40	43.40	-	51	14	40.4	20.23	 0.96	  88.4	 1.0	 0.42	0.04	 0.89	0.05	0.000	     	   	     	
Car-0390	47B 	3409.650	06	40	31.49	-	51	24	50.6	20.20	 0.83	-129.9	 2.8	 0.28	0.04	 0.25	0.08	0.000	     	   	     	
Car-0391	47B 	3409.650	06	40	35.87	-	51	24	51.0	19.99	 1.20	  17.3	 2.5	 0.40	0.03	 0.95	0.04	0.000	     	   	     	
Car-0392	47B 	3409.650	06	40	27.52	-	51	23	49.8	19.88	 1.09	 128.8	 2.4	 0.31	0.05	 0.89	0.07	0.000	     	   	     	
Car-0393	47B 	3409.650	06	40	33.91	-	51	23	49.0	19.48	 1.02	  60.3	 0.8	 0.49	0.03	 0.87	0.05	0.000	     	   	     	
Car-0394	47B 	3409.650	06	40	34.68	-	51	23	27.2	20.61	 1.24	 124.0	 3.2	 0.32	0.06	 0.82	0.11	0.000	     	   	     	
Car-0395	47B 	3409.650	06	40	36.14	-	51	22	28.9	20.16	 0.98	 175.8	 2.5	 0.30	0.05	 0.97	0.06	0.000	     	   	     	
Car-0396	47B 	3409.650	06	40	35.79	-	51	20	40.9	20.23	 0.87	  98.5	 2.3	 0.34	0.05	 1.00	0.05	0.000	     	   	     	
Car-0397	47B 	3409.650	06	40	13.94	-	51	23	40.2	19.66	 1.30	  13.6	 3.2	 0.46	0.04	 0.79	0.08	0.000	     	   	     	
Car-0398	47B 	3409.650	06	40	10.03	-	51	23	17.1	20.12	 0.95	 124.3	 1.4	 0.45	0.04	 1.06	0.04	0.000	     	   	     	
Car-0399	47B 	3409.650	06	40	24.21	-	51	18	00.6	19.15	 1.14	 144.1	 2.1	 0.36	0.02	 0.93	0.03	0.000	     	   	     	
Car-0400	47B 	3409.650	06	40	28.91	-	51	16	09.6	20.65	 0.99	 222.8	 3.6	 0.32	0.04	 0.39	0.07	0.999	     	   	     	
Car-0401	47B 	3409.650	06	40	35.02	-	51	15	45.6	19.14	 1.16	 102.0	 1.2	 0.36	0.02	 0.87	0.03	0.000	     	   	     	
Car-0402	47B 	3409.650	06	40	27.88	-	51	15	23.8	19.12	 1.08	 107.4	 1.1	 0.36	0.02	 0.96	0.02	0.000	     	   	     	
Car-0403	47B 	3409.650	06	40	29.67	-	51	15	10.3	20.18	 0.83	 109.7	 0.9	 0.43	0.03	 0.74	0.05	0.000	     	   	     	
Car-0404	47B 	3409.650	06	40	46.26	-	51	09	04.3	20.59	 0.89	 223.1	 3.3	 0.33	0.04	 0.40	0.08	1.000	     	   	     	
Car-0405	47B 	3409.650	06	40	49.36	-	51	09	12.1	20.13	 0.89	 226.5	 2.4	 0.42	0.03	 0.32	0.07	1.000	     	   	     	
Car-0406	47B 	3409.650	06	40	51.23	-	51	13	12.5	20.46	 0.71	 161.4	 1.2	 0.34	0.03	 0.52	0.06	0.000	     	   	     	
Car-0407	47B 	3409.650	06	40	50.47	-	51	14	30.1	18.93	 1.29	  37.0	 1.6	 0.38	0.02	 0.91	0.02	0.000	     	   	     	
Car-0408	47B 	3409.650	06	40	46.78	-	51	14	33.5	20.16	 1.15	 115.7	 2.7	 0.38	0.04	 0.95	0.05	0.000	     	   	     	
Car-0409	47B 	3409.650	06	40	52.65	-	51	09	29.9	20.55	 1.04	 232.7	 3.4	 0.37	0.04	 0.52	0.09	0.996	     	   	     	
Car-0410	47B 	3409.650	06	40	54.38	-	51	15	26.6	19.68	 0.93	 458.9	 4.1	 0.26	0.03	 0.67	0.04	0.000	     	   	     	
Car-0411	47B 	3409.650	06	40	50.13	-	51	25	54.8	20.12	 1.10	 129.4	 4.9	 0.18	0.09	 0.85	0.09	0.000	     	   	     	
Car-0412	47B 	3409.650	06	40	54.28	-	51	19	31.9	20.03	 0.92	  61.0	 0.9	 0.27	0.03	 0.78	0.04	0.000	     	   	     	
Car-0413	47B 	3409.650	06	40	53.75	-	51	18	04.5	20.79	 1.23	 156.7	 5.2	 0.49	0.06	 0.95	0.08	0.000	     	   	     	
Car-0414	47B 	3409.650	06	40	53.82	-	51	17	40.8	20.59	 1.13	  64.7	 3.1	 0.11	0.08	 1.07	0.05	0.000	     	   	     	
Car-0415	47B 	3409.650	06	41	00.32	-	51	17	26.0	20.01	 1.14	  30.9	 2.2	 0.39	0.03	 0.81	0.05	0.000	     	   	     	
Car-0416	47B 	3409.650	06	40	37.98	-	51	24	45.1	20.23	 1.24	  61.7	 2.5	 0.38	0.04	 0.82	0.06	0.000	     	   	     	
Car-0417	47B 	3409.650	06	40	48.74	-	51	21	20.6	19.89	 0.93	  82.7	 0.6	 0.37	0.03	 0.98	0.03	0.000	     	   	     	
Car-0418	47B 	3409.650	06	40	51.59	-	51	17	51.8	19.39	 0.93	 167.0	 1.1	 0.31	0.02	 0.78	0.03	0.000	     	   	     	
Car-0419	47B 	3409.650	06	40	46.53	-	51	16	47.1	20.39	 1.23	  39.4	 2.3	 0.39	0.04	 0.77	0.07	0.000	     	   	     	
Car-0420	47B 	3409.650	06	40	58.64	-	51	09	21.7	20.03	 1.09	 205.9	 1.8	 0.32	0.03	 0.38	0.06	0.999	     	   	     	
Car-0421	47B 	3409.650	06	41	05.60	-	51	13	31.4	19.12	 1.11	  89.7	 1.0	 0.42	0.03	 0.98	0.03	0.000	     	   	     	
Car-0422	47B 	3409.650	06	41	01.15	-	51	14	32.4	20.12	 1.27	   5.0	 3.8	 0.33	0.08	 1.03	0.07	0.000	     	   	     	
Car-0423	47B 	3409.650	06	41	18.14	-	51	10	56.9	20.35	 0.94	 131.2	 3.0	 0.44	0.05	 0.60	0.12	0.000	     	   	     	
Car-0424	47B 	3409.650	06	41	19.10	-	51	15	15.9	20.53	 0.97	 100.4	 0.9	 0.39	0.03	 0.79	0.05	0.000	     	   	     	
Car-0425	47B 	3409.650	06	41	14.18	-	51	14	21.1	20.25	 0.95	 228.4	 4.8	 0.31	0.04	 0.32	0.08	1.000	     	   	     	
Car-0426	47B 	3409.650	06	41	05.30	-	51	25	36.0	19.32	 1.04	  46.7	 0.8	 0.35	0.03	 0.91	0.04	0.000	     	   	     	
Car-0427	47B 	3409.650	06	41	00.51	-	51	25	03.7	19.69	 1.21	 135.7	 1.6	 0.45	0.03	 0.95	0.04	0.000	     	   	     	
Car-0428	47B 	3409.650	06	40	56.61	-	51	21	53.6	19.53	 0.97	  71.4	 0.6	 0.35	0.02	 0.94	0.03	0.000	     	   	     	
Car-0429	47B 	3409.650	06	41	13.79	-	51	18	52.0	19.22	 1.13	 -16.5	 0.9	 0.35	0.03	 0.94	0.03	0.000	     	   	     	
Car-0430	47B 	3409.650	06	41	08.00	-	51	17	45.0	20.35	 1.25	  73.2	 4.9	 0.34	0.06	 0.70	0.13	0.000	     	   	     	
Car-0431	47B 	3409.650	06	41	05.55	-	51	16	38.0	20.05	 0.95	 178.9	 1.7	 0.40	0.03	 0.65	0.07	0.000	     	   	     	
Car-0432	47B 	3409.650	06	41	16.98	-	51	16	09.3	19.12	 1.27	  63.9	 1.2	 0.42	0.02	 0.95	0.03	0.000	     	   	     	
Car-0433	47R 	3409.650	06	40	16.94	-	51	08	29.0	18.54	 1.23	  66.9	 3.1	 0.36	0.03	 0.84	0.09	0.000	     	   	     	
Car-0434	47R 	3409.650	06	40	12.65	-	51	11	00.6	17.61	 1.39	  34.5	 1.6	 0.37	0.02	 0.71	0.09	0.000	     	   	     	
Car-0435	47R 	3409.650	06	39	57.80	-	51	19	13.4	18.72	 1.36	  41.4	 3.0	 0.37	0.04	 0.82	0.10	0.000	     	   	     	
Car-0436	47R 	3409.650	06	39	52.70	-	51	18	43.2	18.42	 1.16	  59.7	 5.9	 0.35	0.04	 0.76	0.10	0.000	     	   	     	
Car-0437	47R 	3409.650	06	40	47.77	-	51	06	03.5	17.70	 1.54	 239.1	 2.3	 0.39	0.02	 0.37	0.08	1.000	     	   	     	
Car-0438	47R 	3409.650	06	40	47.07	-	51	23	18.4	18.17	 1.19	 -11.9	 3.0	 0.36	0.03	 0.79	0.09	0.000	     	   	     	
Car-0439	47R 	3409.650	06	40	50.13	-	51	21	55.4	18.42	 1.12	  71.9	 4.9	 0.37	0.04	 0.75	0.10	0.000	     	   	     	
Car-0440	47R 	3409.650	06	40	35.49	-	51	19	51.2	18.82	 1.33	  43.7	 8.9	 0.39	0.04	 0.69	0.10	0.000	     	   	     	
Car-0441	47R 	3409.650	06	41	06.64	-	51	12	59.3	17.77	 1.32	  34.0	 3.1	 0.31	0.02	 0.76	0.09	0.000	     	   	     	
Car-0442	47R 	3409.650	06	40	59.85	-	51	24	27.6	18.56	 1.12	 109.3	 2.5	 0.28	0.04	 0.84	0.10	0.000	     	   	     	
Car-0443	47R 	3409.650	06	41	14.89	-	51	20	51.3	18.41	 1.38	  24.5	 4.0	 0.33	0.03	 0.76	0.09	0.000	     	   	     	
Car-0444	47R 	3409.650	06	41	08.30	-	51	20	10.8	18.67	 1.14	  84.4	 6.4	 0.27	0.04	 0.77	0.09	0.000	     	   	     	
Car-0445	47R 	3409.650	06	40	59.57	-	51	16	15.3	18.58	 1.20	  47.4	 3.0	 0.29	0.03	 0.83	0.09	0.000	     	   	     	
Car-0446	13B 	3410.547	06	42	21.75	-	50	58	53.4	20.58	 0.90	 230.8	 4.7	 0.35	0.06	 0.33	0.13	1.000	     	   	     	
Car-0447	13B 	3410.547	06	42	13.30	-	50	58	08.7	20.54	 0.90	 215.9	 5.1	 0.34	0.05	 0.23	0.12	1.000	     	   	     	
Car-0448	13B 	3410.547	06	42	37.58	-	50	58	18.3	20.69	 1.07	 221.0	 4.7	 0.31	0.06	 0.50	0.11	1.000	218.8	3.3	 0.43	0.08
Car-0448	25B 	3411.554	06	42	37.58	-	50	58	18.3	20.69	 1.07	 216.7	 4.6	 0.32	0.06	 0.33	0.13	     	     	   	     	
Car-0449	13B 	3410.547	06	42	29.12	-	50	59	55.0	20.25	 1.01	 230.1	 4.8	 0.32	0.04	 0.01	0.11	1.000	230.8	2.9	 0.01	0.11
Car-0449	1B  	4122.587	06	42	29.12	-	50	59	55.0	20.25	 1.01	 231.2	 3.6	     	    	     	    	     	     	   	     	
Car-0450	13B 	3410.547	06	42	28.88	-	50	57	13.2	20.32	 1.03	 225.8	 1.8	 0.37	0.04	 0.47	0.09	1.000	     	   	     	
Car-0451	13B 	3410.547	06	41	43.35	-	51	04	06.2	20.49	 0.88	 222.6	 3.6	 0.29	0.10	 0.47	0.16	1.000	221.9	3.0	 0.47	0.16
Car-0451	1B  	4122.701	06	41	43.35	-	51	04	06.2	20.49	 0.88	 220.5	 5.4	     	    	     	    	     	     	   	     	
Car-0452	13B 	3410.547	06	42	03.35	-	51	01	11.2	20.56	 1.17	 227.6	 2.2	 0.29	0.06	 0.18	0.15	1.000	228.3	2.0	 0.18	0.15
Car-0452	1R  	4122.701	06	42	03.35	-	51	01	11.2	20.56	 1.17	 231.1	 4.5	     	    	     	    	     	     	   	     	
Car-0453	13B 	3410.547	06	41	58.15	-	51	02	24.7	20.59	 0.85	 224.3	 2.8	 0.31	0.05	 0.40	0.09	1.000	     	   	     	
Car-0454	13B 	3410.547	06	41	57.08	-	51	01	14.5	20.50	 0.86	 221.5	 3.3	 0.34	0.04	 0.28	0.10	1.000	223.5	2.2	 0.28	0.10
Car-0454	1B  	4122.587	06	41	57.08	-	51	01	14.5	20.50	 0.86	 225.4	 3.1	     	    	     	    	     	     	   	     	
Car-0455	13B 	3410.547	06	42	17.28	-	50	59	49.4	20.52	 0.98	 224.9	 3.5	 0.27	0.05	 0.27	0.10	1.000	     	   	     	
Car-0456	13B 	3410.547	06	42	10.28	-	50	59	00.5	20.39	 1.07	 227.8	 1.9	 0.40	0.04	 0.39	0.09	1.000	228.6	1.8	 0.39	0.09
Car-0456	1B  	4122.587	06	42	10.28	-	50	59	00.5	20.39	 1.07	 234.5	 5.3	     	    	     	    	     	     	   	     	
Car-0457	13B 	3410.547	06	42	10.28	-	50	58	41.2	20.06	 0.82	 220.4	 1.3	 0.35	0.04	 0.25	0.09	1.000	     	   	     	
Car-0458	13B 	3410.547	06	42	07.11	-	50	57	52.8	20.60	 0.86	 216.0	 5.9	 0.24	0.06	 0.42	0.10	1.000	     	   	     	
Car-0459	13B 	3410.547	06	42	06.44	-	50	59	30.7	20.38	 0.77	 231.0	 2.7	 0.35	0.04	 0.33	0.10	1.000	230.9	2.2	 0.33	0.10
Car-0459	1B  	4122.587	06	42	06.44	-	50	59	30.7	20.38	 0.77	 230.7	 4.0	     	    	     	    	     	     	   	     	
Car-0460	13B 	3410.547	06	41	24.95	-	51	03	46.6	20.57	 0.89	   3.8	 3.2	 0.51	0.10	 0.51	0.20	0.000	     	   	     	
Car-0461	13B 	3410.547	06	41	33.47	-	51	04	17.8	20.58	 0.83	 232.9	 4.2	 0.39	0.06	-0.02	0.20	1.000	     	   	     	
Car-0462	13B 	3410.547	06	41	40.98	-	51	01	41.7	20.58	 0.99	 228.3	 1.3	 0.35	0.04	 0.46	0.10	1.000	     	   	     	
Car-0463	13B 	3410.547	06	41	37.71	-	51	02	37.0	20.33	 1.04	 209.2	 4.8	 0.44	0.07	 0.55	0.16	0.988	207.2	3.3	 0.55	0.16
Car-0463	1B  	4122.701	06	41	37.71	-	51	02	37.0	20.33	 1.04	 205.3	 4.6	     	    	     	    	     	     	   	     	
Car-0464	13B 	3410.547	06	41	39.17	-	51	07	58.4	20.43	 0.97	 236.8	 4.7	 0.35	0.07	 0.26	0.17	0.999	     	   	     	
Car-0465	13B 	3410.547	06	41	27.09	-	51	05	35.1	20.47	 0.91	 200.7	 4.7	 0.54	0.07	 0.45	0.17	0.959	     	   	     	
Car-0466	13B 	3410.547	06	41	35.97	-	50	59	01.4	20.17	 0.89	 212.5	 1.4	 0.33	0.04	 0.19	0.12	1.000	213.2	1.3	 0.19	0.12
Car-0466	1B  	4122.701	06	41	35.97	-	50	59	01.4	20.17	 0.89	 215.5	 2.7	     	    	     	    	     	     	   	     	
Car-0467	13B 	3410.547	06	41	37.46	-	51	01	16.9	20.43	 0.90	 230.8	 3.9	 0.27	0.07	 0.55	0.14	0.999	     	   	     	
Car-0468	13B 	3410.547	06	41	30.27	-	51	01	57.5	20.21	 0.91	 227.2	 2.2	 0.35	0.05	 0.46	0.11	1.000	     	   	     	
Car-0469	13B 	3410.547	06	41	44.80	-	50	59	09.8	20.44	 0.88	 211.9	 2.6	 0.35	0.05	 0.29	0.13	1.000	     	   	     	
Car-0470	13B 	3410.547	06	41	48.16	-	51	00	57.7	20.44	 0.92	 223.8	 2.9	 0.35	0.05	 0.35	0.14	1.000	224.8	2.4	 0.35	0.14
Car-0470	1B  	4120.709	06	41	48.16	-	51	00	57.7	20.44	 0.92	 227.3	 4.6	     	    	     	    	     	     	   	     	
Car-0471	13B 	3410.547	06	41	49.58	-	51	01	57.5	20.28	 0.83	 235.0	 3.9	 0.28	0.06	 0.28	0.16	1.000	     	   	     	
Car-0472	13B 	3410.547	06	41	41.14	-	51	03	14.7	20.44	 0.86	 227.0	 4.3	 0.33	0.08	 0.65	0.14	0.996	228.3	1.8	 0.65	0.14
Car-0472	1B  	4122.587	06	41	41.14	-	51	03	14.7	20.44	 0.86	 228.6	 2.0	     	    	     	    	     	     	   	     	
Car-0473	13B 	3410.547	06	41	40.49	-	51	05	35.9	20.54	 0.87	 225.2	 2.5	 0.38	0.05	 0.32	0.13	1.000	     	   	     	
Car-0474	13B 	3410.547	06	41	55.07	-	50	57	44.2	20.49	 0.91	 222.3	 3.0	 0.29	0.06	 0.29	0.13	1.000	     	   	     	
Car-0475	13B 	3410.547	06	41	53.70	-	50	59	30.1	20.27	 0.75	  82.2	 1.0	 0.29	0.04	 0.48	0.07	0.000	     	   	     	
Car-0476	13B 	3410.547	06	41	57.07	-	50	59	44.5	20.21	 0.89	 231.2	 2.8	 0.38	0.06	 0.37	0.14	1.000	229.4	1.9	 0.37	0.14
Car-0476	1B  	4122.701	06	41	57.07	-	50	59	44.5	20.21	 0.89	 228.0	 2.6	     	    	     	    	     	     	   	     	
Car-0477	13B 	3410.547	06	41	53.77	-	50	59	51.9	20.57	 0.90	 223.9	 4.6	 0.36	0.05	 0.36	0.11	1.000	224.3	3.5	 0.36	0.11
Car-0477	1B  	4122.587	06	41	53.77	-	50	59	51.9	20.57	 0.90	 224.9	 5.4	     	    	     	    	     	     	   	     	
Car-0478	13B 	3410.547	06	41	48.40	-	51	00	05.8	20.45	 0.86	 222.2	 2.4	 0.34	0.05	 0.40	0.10	1.000	     	   	     	
Car-0479	13B 	3410.547	06	41	59.84	-	50	58	02.1	20.34	 0.99	 224.9	 3.5	 0.25	0.06	 0.37	0.12	1.000	224.9	2.0	 0.43	0.08
Car-0479	1B  	4120.709	06	41	59.84	-	50	58	02.1	20.34	 0.99	 222.3	 4.6	     	    	     	    	     	     	   	     	
Car-0479	1B  	4557.518	06	41	59.84	-	50	58	02.1	20.34	 0.99	 225.9	 2.8	 0.14	0.06	 0.47	0.10	     	     	   	     	
Car-0480	13B 	3410.547	06	42	00.56	-	50	58	32.4	20.45	 0.87	 222.8	 3.8	 0.33	0.05	 0.49	0.09	1.000	     	   	     	
Car-0481	13B 	3410.547	06	42	00.51	-	50	58	53.6	20.70	 1.03	 228.4	 4.8	 0.33	0.06	 0.26	0.14	1.000	     	   	     	
Car-0482	13B 	3410.547	06	42	00.90	-	51	00	35.4	20.62	 0.94	 224.5	 5.3	 0.36	0.05	 0.31	0.12	1.000	225.8	2.9	 0.31	0.12
Car-0482	1B  	4122.701	06	42	00.90	-	51	00	35.4	20.62	 0.94	 226.3	 3.5	     	    	     	    	     	     	   	     	
Car-0483	13B 	3410.547	06	42	08.49	-	51	02	52.0	20.32	 1.02	 227.4	 1.7	 0.29	0.04	 0.28	0.09	1.000	226.9	1.5	 0.28	0.09
Car-0483	1B  	4122.587	06	42	08.49	-	51	02	52.0	20.32	 1.02	 225.3	 3.2	     	    	     	    	     	     	   	     	
Car-0484	13B 	3410.547	06	42	17.50	-	51	14	38.0	20.41	 1.10	 212.8	 2.2	 0.32	0.04	 0.35	0.09	1.000	     	   	     	
Car-0485	13B 	3410.547	06	42	20.60	-	51	12	36.7	20.77	 1.02	 232.3	 3.3	 0.32	0.07	 0.50	0.12	0.997	     	   	     	
Car-0486	13B 	3410.547	06	41	58.42	-	51	03	52.1	20.38	 0.91	 236.4	 5.5	 0.36	0.06	 0.40	0.13	1.000	     	   	     	
Car-0487	13B 	3410.547	06	41	53.55	-	51	10	30.8	20.44	 0.71	 222.0	 4.7	 0.32	0.07	 0.18	0.20	1.000	     	   	     	
Car-0488	13B 	3410.547	06	42	00.02	-	51	06	42.4	20.48	 0.86	 227.7	 3.5	 0.26	0.05	 0.34	0.10	1.000	     	   	     	
Car-0489	13B 	3410.547	06	41	51.59	-	51	04	10.3	20.43	 0.98	 212.9	 1.2	 0.31	0.05	 0.38	0.10	1.000	213.8	1.1	 0.43	0.09
Car-0489	1B  	4554.518	06	41	51.59	-	51	04	10.3	20.43	 0.98	 220.2	 3.0	 0.29	0.09	 0.63	0.18	     	     	   	     	
Car-0490	13B 	3410.547	06	42	06.17	-	50	59	11.9	20.45	 0.75	 219.0	 2.5	 0.27	0.05	 0.23	0.11	1.000	220.9	1.6	 0.23	0.11
Car-0490	1B  	4122.587	06	42	06.17	-	50	59	11.9	20.45	 0.75	 222.4	 2.2	     	    	     	    	     	     	   	     	
Car-0491	13B 	3410.547	06	42	08.33	-	51	00	18.9	20.73	 1.00	 217.2	 4.8	 0.23	0.06	 0.16	0.14	1.000	     	   	     	
Car-0492	13B 	3410.547	06	42	08.54	-	51	00	58.3	20.33	 0.83	 221.9	 2.2	 0.26	0.05	 0.35	0.09	1.000	     	   	     	
Car-0493	13B 	3410.547	06	42	13.58	-	50	59	03.7	20.44	 0.85	 216.1	 3.5	 0.30	0.04	 0.22	0.10	1.000	     	   	     	
Car-0494	13B 	3410.547	06	42	40.35	-	51	08	21.3	20.44	 0.99	  43.6	 1.9	 0.41	0.11	 1.05	0.11	0.000	     	   	     	
Car-0495	13B 	3410.547	06	42	37.05	-	51	08	04.9	20.83	 1.09	 227.3	 5.0	 0.32	0.06	-0.11	0.19	1.000	     	   	     	
Car-0496	13B 	3410.547	06	42	35.11	-	51	11	42.1	20.98	 1.21	  80.6	 1.6	 0.34	0.07	 0.88	0.08	0.000	     	   	     	
Car-0497	13B 	3410.547	06	42	32.96	-	51	10	56.3	20.55	 0.92	 229.3	 5.3	 0.27	0.05	 0.41	0.09	1.000	     	   	     	
Car-0498	13B 	3410.547	06	42	20.32	-	51	09	29.7	20.72	 1.21	 139.2	 2.6	 0.30	0.07	 0.92	0.08	0.000	     	   	     	
Car-0499	13B 	3410.547	06	42	13.45	-	51	06	17.5	20.48	 1.06	 396.9	 4.4	 0.29	0.05	 0.84	0.05	0.000	     	   	     	
Car-0500	13B 	3410.547	06	42	12.39	-	51	04	44.4	20.60	 1.03	 229.8	 4.5	 0.31	0.06	 0.33	0.13	1.000	     	   	     	
Car-0501	13B 	3410.547	06	42	02.78	-	51	04	02.6	20.52	 1.07	 216.5	 3.9	 0.26	0.05	 0.37	0.10	1.000	     	   	     	
Car-0502	13B 	3410.547	06	42	08.75	-	51	03	23.8	20.61	 0.89	 231.6	 5.8	 0.33	0.07	 0.25	0.15	1.000	     	   	     	
Car-0503	13B 	3410.547	06	42	25.98	-	51	01	16.0	20.41	 0.95	 223.5	 3.6	 0.34	0.05	 0.19	0.13	1.000	229.1	2.9	 0.19	0.13
Car-0503	1B  	4123.555	06	42	25.98	-	51	01	16.0	20.41	 0.95	 239.3	 4.8	     	    	     	    	     	     	   	     	
Car-0504	13B 	3410.547	06	42	23.07	-	51	01	33.3	20.54	 0.87	 233.4	 4.2	 0.28	0.06	 0.34	0.13	1.000	     	   	     	
Car-0505	13B 	3410.547	06	42	52.83	-	50	56	31.6	20.69	 0.94	 224.7	 2.0	 0.36	0.05	 0.23	0.12	1.000	224.9	1.8	 0.21	0.10
Car-0505	25B 	3411.554	06	42	52.83	-	50	56	31.6	20.69	 0.94	 225.7	 4.9	 0.30	0.07	 0.18	0.17	     	     	   	     	
Car-0506	13B 	3410.547	06	43	14.31	-	51	10	57.6	20.44	 1.15	  69.4	 0.8	 0.40	0.07	 0.92	0.07	0.000	     	   	     	
Car-0507	13B 	3410.547	06	43	14.98	-	51	08	54.8	20.52	 0.76	  61.0	 2.7	 0.24	0.07	 0.50	0.11	0.000	     	   	     	
Car-0508	13B 	3410.547	06	43	01.83	-	51	07	57.5	20.41	 1.12	 228.7	 5.7	 0.29	0.05	 0.02	0.13	1.000	     	   	     	
Car-0509	13B 	3410.547	06	43	04.94	-	51	06	17.8	20.25	 0.93	 153.9	 1.4	 0.36	0.04	 0.74	0.08	0.000	     	   	     	
Car-0510	13B 	3410.547	06	43	26.37	-	51	02	15.2	20.25	 0.88	 153.6	 1.5	 0.33	0.03	 0.39	0.08	0.000	     	   	     	
Car-0511	13B 	3410.547	06	43	24.11	-	51	01	18.1	20.91	 1.23	 212.7	 5.1	 0.33	0.08	 0.41	0.16	0.997	     	   	     	
Car-0512	13B 	3410.547	06	42	57.08	-	51	09	41.8	20.67	 1.00	 212.5	 4.0	 0.30	0.05	 0.16	0.11	1.000	     	   	     	
