#Table: J/AJ/137/3100/table5.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
Sex-0048|1B  |4122.822|10 12 52.40 -01 35 07.3|20.31| 0.98| 217.8| 3.6|     |    |     |    |     |     |   |     |
Sex-0049|14B |3088.704|10 12 53.33 -01 34 40.6|19.45| 1.01| 229.9| 1.8| 0.37|0.03| 0.33|0.08|1.000|229.9|1.1| 0.30|0.06
Sex-0049|1R  |3411.775|10 12 53.33 -01 34 40.6|19.45| 1.01| 229.9| 9.6| 0.40|0.04| 0.24|0.11|     |     |   |     |
Sex-0049|5R  |3416.684|10 12 53.33 -01 34 40.6|19.45| 1.01| 232.5| 6.9| 0.38|0.06| 0.31|0.13|     |     |   |     |
Sex-0049|1B  |4122.822|10 12 53.33 -01 34 40.6|19.45| 1.01| 229.7| 1.5|     |    |     |    |     |     |   |     |
Sex-0050|14B |3088.704|10 12 46.57 -01 23 47.6|18.51| 1.03| 215.5| 1.6| 0.33|0.03| 0.41|0.06|0.998|212.5|0.5| 0.35|0.03
Sex-0050|57R |3410.758|10 12 46.57 -01 23 47.6|18.51| 1.03| 216.5| 3.9| 0.32|0.06| 0.44|0.11|     |     |   |     |
Sex-0050|23B |3418.704|10 12 46.57 -01 23 47.6|18.51| 1.03| 213.4| 1.4| 0.29|0.02| 0.33|0.04|     |     |   |     |
Sex-0050|6B  |3804.673|10 12 46.57 -01 23 47.6|18.51| 1.03| 215.2| 1.9| 0.32|0.04| 0.30|0.09|     |     |   |     |
Sex-0050|6B  |4124.814|10 12 46.57 -01 23 47.6|18.51| 1.03| 211.3| 0.7|     |    |     |    |     |     |   |     |
Sex-0051|14B |3088.704|10 12 48.47 -01 23 56.8|17.69| 1.23| -11.7| 1.9| 0.37|0.02| 0.84|0.03|0.000| -7.5|1.0| 0.86|0.02
Sex-0051|23B |3418.704|10 12 48.47 -01 23 56.8|17.69| 1.23| -12.2| 1.9| 0.37|0.02| 0.88|0.03|     |     |   |     |
Sex-0051|6R  |4124.814|10 12 48.47 -01 23 56.8|17.69| 1.23|  -3.0| 1.4|     |    |     |    |     |     |   |     |
Sex-0052|14B |3088.704|10 12 46.44 -01 24 31.9|19.04| 1.01| 220.1| 6.0| 0.28|0.05| 0.35|0.11|0.998|221.0|2.1| 0.42|0.09
Sex-0052|57R |3410.758|10 12 46.44 -01 24 31.9|19.04| 1.01| 217.9| 5.1| 0.50|0.06| 0.52|0.13|     |     |   |     |
Sex-0052|6R  |4124.814|10 12 46.44 -01 24 31.9|19.04| 1.01| 222.0| 2.6|     |    |     |    |     |     |   |     |
Sex-0053|14B |3088.704|10 12 54.83 -01 24 30.9|19.32| 0.83| 150.9| 2.0| 0.33|0.05| 0.65|0.09|0.000|147.0|0.5| 0.85|0.03
Sex-0053|23B |3418.704|10 12 54.83 -01 24 30.9|19.32| 0.83| 146.5| 0.6| 0.35|0.03| 0.90|0.03|     |     |   |     |
Sex-0053|6B  |3804.673|10 12 54.83 -01 24 30.9|19.32| 0.83| 142.2| 1.7| 0.23|0.05| 0.67|0.08|     |     |   |     |
Sex-0053|6B  |4124.814|10 12 54.83 -01 24 30.9|19.32| 0.83| 147.9| 0.7|     |    |     |    |     |     |   |     |
Sex-0054|14B |3088.704|10 13 01.44 -01 23 43.9|19.74| 1.12|   3.8| 4.6| 0.43|0.12| 0.82|0.17|0.000|  3.7|1.1| 0.88|0.04
Sex-0054|57B |3410.758|10 13 01.44 -01 23 43.9|19.74| 1.12|   4.9| 2.5| 0.40|0.07| 0.85|0.11|     |     |   |     |
Sex-0054|23B |3418.704|10 13 01.44 -01 23 43.9|19.74| 1.12|   5.2| 1.8| 0.35|0.04| 0.92|0.05|     |     |   |     |
Sex-0054|6B  |3804.673|10 13 01.44 -01 23 43.9|19.74| 1.12|  -6.7| 3.1| 0.25|0.07| 0.77|0.12|     |     |   |     |
Sex-0054|6B  |4124.814|10 13 01.44 -01 23 43.9|19.74| 1.12|   5.4| 1.9|     |    |     |    |     |     |   |     |
Sex-0055|14B |3088.704|10 13 00.60 -01 25 47.0|17.67| 1.12| 109.1| 1.8| 0.29|0.03| 0.95|0.03|0.000|109.7|0.7| 0.88|0.01
Sex-0055|57R |3410.758|10 13 00.60 -01 25 47.0|17.67| 1.12| 109.9| 2.3| 0.31|0.03| 0.73|0.09|     |     |   |     |
Sex-0055|23B |3418.704|10 13 00.60 -01 25 47.0|17.67| 1.12| 110.0| 1.2| 0.31|0.01| 0.89|0.01|     |     |   |     |
Sex-0055|6B  |3804.673|10 13 00.60 -01 25 47.0|17.67| 1.12| 109.0| 1.5| 0.27|0.02| 0.85|0.02|     |     |   |     |
Sex-0055|6B  |4124.814|10 13 00.60 -01 25 47.0|17.67| 1.12| 110.4| 1.4|     |    |     |    |     |     |   |     |
Sex-0056|14B |3088.704|10 12 45.62 -01 35 46.1|20.09| 0.95| 233.8| 5.1| 0.32|0.06| 0.27|0.15|0.999|231.5|1.3| 0.34|0.06
Sex-0056|1B  |3411.775|10 12 45.62 -01 35 46.1|20.09| 0.95| 227.7| 3.3| 0.35|0.06| 0.47|0.11|     |     |   |     |
Sex-0056|5B  |3416.684|10 12 45.62 -01 35 46.1|20.09| 0.95| 232.1| 1.5| 0.36|0.03| 0.30|0.07|     |     |   |     |
Sex-0057|14B |3088.704|10 12 45.21 -01 33 34.8|17.84| 0.76|  43.9| 0.5| 0.35|0.02| 0.74|0.03|0.000| 44.5|0.3| 0.78|0.02
Sex-0057|1B  |3089.738|10 12 45.21 -01 33 34.8|17.84| 0.76|  44.7| 0.6| 0.31|0.02| 0.80|0.02|     |     |   |     |
Sex-0057|57R |3410.758|10 12 45.21 -01 33 34.8|17.84| 0.76|  47.3| 1.3| 0.29|0.03| 0.71|0.09|     |     |   |     |
Sex-0057|1R  |3411.775|10 12 45.21 -01 33 34.8|17.84| 0.76|  44.8| 1.0| 0.32|0.02| 0.69|0.09|     |     |   |     |
Sex-0057|1R  |4122.822|10 12 45.21 -01 33 34.8|17.84| 0.76|  44.7| 0.9|     |    |     |    |     |     |   |     |
Sex-0058|14B |3088.704|10 12 46.81 -01 31 58.1|19.31| 1.03| 223.4| 1.6| 0.39|0.03| 0.43|0.07|0.999|223.4|0.7| 0.41|0.04
Sex-0058|1R  |3089.738|10 12 46.81 -01 31 58.1|19.31| 1.03| 219.6| 9.1| 0.35|0.04| 0.45|0.10|     |     |   |     |
Sex-0058|57B |3410.758|10 12 46.81 -01 31 58.1|19.31| 1.03| 223.3| 0.8| 0.40|0.03| 0.41|0.06|     |     |   |     |
Sex-0058|1R  |3411.775|10 12 46.81 -01 31 58.1|19.31| 1.03| 225.2| 2.9| 0.39|0.04| 0.34|0.11|     |     |   |     |
Sex-0059|14B |3088.704|10 12 46.35 -01 30 15.3|18.25| 1.18|  21.9| 2.1| 0.33|0.03| 0.90|0.04|0.000| 23.6|1.0| 0.91|0.03
Sex-0059|1R  |3089.738|10 12 46.35 -01 30 15.3|18.25| 1.18|  20.8| 4.6| 0.26|0.03| 0.83|0.09|     |     |   |     |
Sex-0059|57R |3410.758|10 12 46.35 -01 30 15.3|18.25| 1.18|  27.9| 5.0| 0.35|0.09| 0.98|0.11|     |     |   |     |
Sex-0059|6B  |3804.673|10 12 46.35 -01 30 15.3|18.25| 1.18|  24.4| 2.6| 0.39|0.08| 1.02|0.09|     |     |   |     |
Sex-0059|1B  |4122.822|10 12 46.35 -01 30 15.3|18.25| 1.18|  24.7| 2.0|     |    |     |    |     |     |   |     |
Sex-0059|6B  |4124.814|10 12 46.35 -01 30 15.3|18.25| 1.18|  23.4| 1.9|     |    |     |    |     |     |   |     |
Sex-0060|14B |3088.704|10 12 47.99 -01 29 38.7|18.98| 0.94| 222.8| 2.5| 0.28|0.04| 0.36|0.08|0.999|222.8|1.9| 0.36|0.05
Sex-0060|1R  |3089.738|10 12 47.99 -01 29 38.7|18.98| 0.94| 225.9| 4.4| 0.36|0.03| 0.41|0.09|     |     |   |     |
Sex-0060|57R |3410.758|10 12 47.99 -01 29 38.7|18.98| 0.94| 219.6| 5.2| 0.29|0.06| 0.37|0.12|     |     |   |     |
Sex-0060|1R  |3411.775|10 12 47.99 -01 29 38.7|18.98| 0.94| 221.3| 5.9| 0.36|0.03| 0.28|0.10|     |     |   |     |
Sex-0061|14B |3088.704|10 12 43.35 -01 32 05.1|17.91| 1.23|  56.0| 1.6| 0.37|0.02| 0.98|0.03|0.000| 56.3|0.7| 0.93|0.02
Sex-0061|1B  |3089.738|10 12 43.35 -01 32 05.1|17.91| 1.23|  56.5| 1.7| 0.41|0.02| 0.93|0.02|     |     |   |     |
Sex-0061|57R |3410.758|10 12 43.35 -01 32 05.1|17.91| 1.23|  54.4| 2.4| 0.35|0.03| 0.79|0.09|     |     |   |     |
Sex-0061|1R  |3411.775|10 12 43.35 -01 32 05.1|17.91| 1.23|  54.2| 2.6| 0.33|0.02| 0.81|0.09|     |     |   |     |
Sex-0061|5R  |3416.684|10 12 43.35 -01 32 05.1|17.91| 1.23|  55.6| 3.7| 0.38|0.03| 0.77|0.09|     |     |   |     |
Sex-0061|6B  |3804.673|10 12 43.35 -01 32 05.1|17.91| 1.23|  56.9| 2.0| 0.37|0.04| 0.84|0.06|     |     |   |     |
Sex-0061|1B  |4122.822|10 12 43.35 -01 32 05.1|17.91| 1.23|  57.4| 1.8|     |    |     |    |     |     |   |     |
Sex-0061|6B  |4124.814|10 12 43.35 -01 32 05.1|17.91| 1.23|  57.0| 1.8|     |    |     |    |     |     |   |     |
Sex-0062|14B |3088.704|10 12 40.91 -01 32 01.2|19.28| 0.97| 217.0| 1.4| 0.40|0.04| 0.33|0.09|0.999|215.4|0.9| 0.36|0.04
Sex-0062|57B |3410.758|10 12 40.91 -01 32 01.2|19.28| 0.97| 214.4| 1.2| 0.38|0.03| 0.41|0.07|     |     |   |     |
Sex-0062|1R  |3411.775|10 12 40.91 -01 32 01.2|19.28| 0.97| 212.1| 4.6| 0.37|0.04| 0.32|0.11|     |     |   |     |
Sex-0062|5R  |3416.684|10 12 40.91 -01 32 01.2|19.28| 0.97| 216.6| 5.6| 0.40|0.05| 0.34|0.13|     |     |   |     |
Sex-0063|14B |3088.704|10 12 42.83 -01 30 08.3|18.99| 0.98| 213.8| 4.4| 0.24|0.05| 0.47|0.10|0.992|212.8|3.1| 0.47|0.10
Sex-0063|6R  |4124.814|10 12 42.83 -01 30 08.3|18.99| 0.98| 211.8| 4.5|     |    |     |    |     |     |   |     |
Sex-0064|14B |3088.704|10 12 43.90 -01 28 32.6|17.34| 1.27|  23.5| 1.8| 0.40|0.02| 0.88|0.03|0.000| 23.4|1.5| 0.88|0.03
Sex-0064|57R |3410.758|10 12 43.90 -01 28 32.6|17.34| 1.27|  23.4| 3.0| 0.33|0.05| 0.81|0.10|     |     |   |     |
Sex-0065|14B |3088.704|10 12 32.95 -01 19 14.1|     |     |  11.8| 3.4| 0.38|0.05| 0.80|0.08|0.000| 12.0|3.1| 0.69|0.06
Sex-0065|57R |3410.758|10 12 32.95 -01 19 14.1|     |     |  13.3| 8.2| 0.33|0.05| 0.53|0.10|     |     |   |     |
Sex-0066|14B |3088.704|10 12 35.07 -01 23 47.3|19.50| 0.96| 239.0| 5.3| 0.26|0.09| 0.66|0.13|0.957|241.1|4.3| 0.51|0.10
Sex-0066|57R |3410.758|10 12 35.07 -01 23 47.3|19.50| 0.96| 243.6|11.5| 0.32|0.08| 0.28|0.16|     |     |   |     |
Sex-0066|6R  |4124.814|10 12 35.07 -01 23 47.3|19.50| 0.96| 245.8| 9.3|     |    |     |    |     |     |   |     |
Sex-0067|14B |3088.704|10 12 33.29 -01 32 22.8|19.28| 0.98| 247.1| 3.4| 0.33|0.04| 0.31|0.10|0.987|244.4|2.3| 0.31|0.10
Sex-0067|1B  |4122.822|10 12 33.29 -01 32 22.8|19.28| 0.98| 242.1| 3.1|     |    |     |    |     |     |   |     |
Sex-0068|14B |3088.704|10 12 32.68 -01 32 08.8|19.82| 0.90| 128.0| 2.6| 0.32|0.07| 0.67|0.11|0.000|131.0|0.6| 0.86|0.03
Sex-0068|57B |3410.758|10 12 32.68 -01 32 08.8|19.82| 0.90| 128.4| 2.2| 0.36|0.06| 0.85|0.09|     |     |   |     |
Sex-0068|5B  |3416.684|10 12 32.68 -01 32 08.8|19.82| 0.90| 131.4| 0.7| 0.37|0.02| 0.87|0.03|     |     |   |     |
Sex-0069|14B |3088.704|10 12 33.88 -01 31 59.0|20.14| 0.94| 230.4| 4.6| 0.31|0.10| 0.21|0.17|0.999|228.1|2.2| 0.28|0.06
Sex-0069|57B |3410.758|10 12 33.88 -01 31 59.0|20.14| 0.94| 227.8| 3.7| 0.34|0.07| 0.29|0.15|     |     |   |     |
Sex-0069|5B  |3416.684|10 12 33.88 -01 31 59.0|20.14| 0.94| 227.0| 3.6| 0.33|0.03| 0.29|0.07|     |     |   |     |
Sex-0070|14B |3088.704|10 12 29.66 -01 35 36.2|20.12| 0.79| 128.8| 4.5| 0.27|0.09| 0.23|0.20|0.000|129.1|1.6| 0.52|0.05
Sex-0070|57B |3410.758|10 12 29.66 -01 35 36.2|20.12| 0.79| 128.5| 4.3| 0.32|0.07| 0.39|0.17|     |     |   |     |
Sex-0070|5B  |3416.684|10 12 29.66 -01 35 36.2|20.12| 0.79| 129.2| 1.9| 0.25|0.03| 0.56|0.05|     |     |   |     |
Sex-0071|14B |3088.704|10 12 29.94 -01 34 31.8|19.41| 0.99| 204.2| 4.2| 0.28|0.04| 0.37|0.08|0.987|     |   |     |
Sex-0072|14B |3088.704|10 12 25.56 -01 33 26.9|18.93| 0.55| 288.1| 5.8| 0.27|0.03| 0.30|0.05|0.000|287.3|4.9| 0.29|0.05
Sex-0072|57R |3410.758|10 12 25.56 -01 33 26.9|18.93| 0.55| 285.5| 9.2| 0.31|0.04| 0.25|0.10|     |     |   |     |
Sex-0073|14B |3088.704|10 12 25.93 -01 32 38.8|19.25| 1.02| 229.1| 1.7| 0.33|0.04| 0.46|0.09|0.999|230.2|1.5| 0.40|0.06
Sex-0073|57R |3410.758|10 12 25.93 -01 32 38.8|19.25| 1.02| 235.9| 8.3| 0.35|0.07| 0.38|0.14|     |     |   |     |
Sex-0073|5R  |3416.684|10 12 25.93 -01 32 38.8|19.25| 1.02| 233.8| 3.4| 0.30|0.04| 0.33|0.10|     |     |   |     |
Sex-0074|14B |3088.704|10 12 15.86 -01 27 25.1|     |     | 229.9| 1.7|     |    |     |    |0.997|230.6|1.3| 0.42|0.10
Sex-0074|57R |3410.758|10 12 15.86 -01 27 25.1|     |     | 231.4| 2.0| 0.36|0.04| 0.42|0.10|     |     |   |     |
Sex-0075|14B |3088.704|10 12 25.23 -01 22 25.8|     |     | 219.5| 0.7| 0.43|0.03| 0.22|0.07|0.999|220.2|0.6| 0.31|0.05
Sex-0075|57R |3410.758|10 12 25.23 -01 22 25.8|     |     | 222.8| 1.4| 0.40|0.02| 0.44|0.08|     |     |   |     |
Sex-0076|14R |3088.704|10 13 18.32 -01 29 31.6|18.06| 1.21| 217.9| 1.4| 0.42|0.03| 0.42|0.10|0.998|224.5|0.4| 0.43|0.02
Sex-0076|1B  |3089.738|10 13 18.32 -01 29 31.6|18.06| 1.21| 224.4| 0.6| 0.45|0.01| 0.43|0.03|     |     |   |     |
Sex-0076|57R |3410.758|10 13 18.32 -01 29 31.6|18.06| 1.21| 225.6| 2.7| 0.42|0.04| 0.35|0.11|     |     |   |     |
Sex-0076|6B  |3804.673|10 13 18.32 -01 29 31.6|18.06| 1.21| 222.9| 1.1| 0.40|0.03| 0.46|0.06|     |     |   |     |
Sex-0076|1R  |4122.822|10 13 18.32 -01 29 31.6|18.06| 1.21| 233.4| 1.4|     |    |     |    |     |     |   |     |
Sex-0076|6B  |4124.814|10 13 18.32 -01 29 31.6|18.06| 1.21| 224.7| 0.6|     |    |     |    |     |     |   |     |
Sex-0077|14R |3088.704|10 12 48.61 -01 30 16.1|18.12| 0.85| 133.2| 3.1| 0.31|0.03| 0.77|0.09|0.000|133.8|0.8| 0.79|0.05
Sex-0077|1R  |3089.738|10 12 48.61 -01 30 16.1|18.12| 0.85| 135.7| 1.6| 0.37|0.02| 0.79|0.09|     |     |   |     |
Sex-0077|57R |3410.758|10 12 48.61 -01 30 16.1|18.12| 0.85| 131.8| 1.9| 0.33|0.04| 0.81|0.10|     |     |   |     |
Sex-0077|1R  |3411.775|10 12 48.61 -01 30 16.1|18.12| 0.85| 133.7| 1.1| 0.36|0.02| 0.78|0.09|     |     |   |     |
Sex-0078|14R |3088.704|10 12 14.87 -01 30 32.0|19.06| 1.04| 228.1| 7.6| 0.36|0.04| 0.25|0.11|0.999|226.3|4.6| 0.31|0.08
Sex-0078|57R |3410.758|10 12 14.87 -01 30 32.0|19.06| 1.04| 225.3| 5.8| 0.40|0.05| 0.38|0.12|     |     |   |     |
Sex-0079|1B  |3089.738|10 13 39.93 -01 40 49.2|18.97| 0.69| 134.4| 1.4| 0.29|0.02| 0.52|0.05|0.000|152.1|0.5| 0.50|0.03
Sex-0079|15B |3417.761|10 13 39.93 -01 40 49.2|18.97| 0.69| 155.1| 0.6| 0.32|0.02| 0.48|0.04|     |     |   |     |
Sex-0080|1B  |3089.738|10 13 30.14 -01 40 20.0|19.40| 0.99| 232.6| 2.2| 0.31|0.02| 0.16|0.06|0.998|231.4|2.0| 0.21|0.05
Sex-0080|1R  |3411.775|10 13 30.14 -01 40 20.0|19.40| 0.99| 231.0| 6.9| 0.28|0.06| 0.40|0.12|     |     |   |     |
Sex-0080|1R  |4122.822|10 13 30.14 -01 40 20.0|19.40| 0.99| 221.4| 6.6|     |    |     |    |     |     |   |     |
Sex-0081|1B  |3089.738|10 13 29.78 -01 38 22.4|19.82|     | 228.9| 3.1| 0.33|0.03| 0.24|0.07|0.999|     |   |     |
Sex-0082|1B  |3089.738|10 13 26.42 -01 36 36.2|19.88| 0.96| 213.9| 3.9| 0.42|0.05| 0.32|0.13|0.997|     |   |     |
Sex-0083|1B  |3089.738|10 13 27.54 -01 34 04.1|20.06| 0.83| 220.1| 3.5| 0.36|0.04| 0.52|0.11|0.997|232.8|1.2| 0.43|0.07
Sex-0083|1R  |3411.775|10 13 27.54 -01 34 04.1|20.06| 0.83| 234.4| 1.2| 0.35|0.02| 0.39|0.08|     |     |   |     |
Sex-0084|1B  |3089.738|10 13 34.81 -01 37 54.0|20.28| 0.64| 233.8| 5.2| 0.28|0.10| 0.75|0.11|0.554|     |   |     |
Sex-0085|1B  |3089.738|10 13 43.08 -01 38 05.6|18.81| 0.82| 150.8| 0.9| 0.34|0.02| 0.99|0.02|0.000|     |   |     |
Sex-0086|1R  |3089.738|10 13 09.94 -01 29 34.9|19.32| 1.01| 222.1|11.8| 0.42|0.05| 0.33|0.12|0.998|232.3|2.3| 0.33|0.12
Sex-0086|1B  |4122.822|10 13 09.94 -01 29 34.9|19.32| 1.01| 232.3| 2.5|     |    |     |    |     |     |   |     |
Sex-0086|6R  |4124.814|10 13 09.94 -01 29 34.9|19.32| 1.01| 236.7| 7.8|     |    |     |    |     |     |   |     |
Sex-0087|1B  |3089.738|10 13 06.68 -01 34 19.5|19.84| 0.96| 221.6| 4.5| 0.27|0.05| 0.33|0.09|1.000|222.8|3.1| 0.29|0.08
Sex-0087|57B |3410.758|10 13 06.68 -01 34 19.5|19.84| 0.96| 223.9| 4.2| 0.35|0.05| 0.17|0.14|     |     |   |     |
Sex-0088|1B  |3089.738|10 13 15.64 -01 29 22.2|20.02| 0.96| 224.7| 5.3| 0.25|0.05| 0.26|0.10|0.999|224.0|0.9| 0.32|0.06
Sex-0088|1B  |3411.775|10 13 15.64 -01 29 22.2|20.02| 0.96| 225.4| 1.6| 0.32|0.04| 0.36|0.08|     |     |   |     |
Sex-0088|1B  |4122.822|10 13 15.64 -01 29 22.2|20.02| 0.96| 223.2| 1.2|     |    |     |    |     |     |   |     |
Sex-0089|1B  |3089.738|10 12 54.01 -01 31 34.3|19.72|     | 216.7| 4.3| 0.24|0.04| 0.16|0.11|0.999|218.2|1.9| 0.34|0.07
Sex-0089|57B |3410.758|10 12 54.01 -01 31 34.3|19.72|     | 218.5| 2.1| 0.30|0.04| 0.44|0.08|     |     |   |     |
Sex-0090|1B  |3089.738|10 13 40.21 -01 38 48.5|18.95| 1.04| 244.6| 4.4| 0.31|0.04| 0.40|0.09|0.988|242.9|1.4| 0.25|0.05
Sex-0090|15B |3417.761|10 13 40.21 -01 38 48.5|18.95| 1.04| 242.7| 1.5| 0.29|0.02| 0.18|0.06|     |     |   |     |
Sex-0091|1B  |3089.738|10 13 36.90 -01 38 28.4|19.65| 0.92|  51.6| 2.4| 0.37|0.05| 0.98|0.06|0.000| 54.1|0.5| 0.90|0.03
Sex-0091|15B |3417.761|10 13 36.90 -01 38 28.4|19.65| 0.92|  54.2| 0.5| 0.37|0.03| 0.87|0.04|     |     |   |     |
Sex-0092|1B  |3089.738|10 13 23.72 -01 35 36.3|18.69| 1.04| 223.5| 0.9| 0.41|0.02| 0.43|0.05|0.999|223.4|0.8| 0.41|0.04
Sex-0092|1R  |3411.775|10 13 23.72 -01 35 36.3|18.69| 1.04| 224.1| 3.9| 0.35|0.03| 0.34|0.09|     |     |   |     |
Sex-0092|1R  |4122.822|10 13 23.72 -01 35 36.3|18.69| 1.04| 222.4| 2.8|     |    |     |    |     |     |   |     |
Sex-0093|1B  |3089.738|10 13 22.07 -01 36 17.2|19.85| 0.95| 232.6| 4.8| 0.42|0.04| 0.27|0.12|0.999|     |   |     |
Sex-0094|1B  |3089.738|10 13 27.48 -01 43 44.5|     |     |-115.0| 5.7| 0.07|0.12| 0.23|0.16|0.000|     |   |     |
Sex-0095|1B  |3089.738|10 13 14.67 -01 33 40.9|20.01| 0.96| 231.1| 4.8| 0.44|0.04| 0.14|0.12|0.999|     |   |     |
Sex-0096|1B  |3089.738|10 13 16.00 -01 34 39.7|19.35| 0.99| 217.0| 3.2| 0.32|0.04| 0.33|0.08|0.999|218.5|1.1| 0.33|0.08
Sex-0096|1B  |4122.822|10 13 16.00 -01 34 39.7|19.35| 0.99| 218.8| 1.2|     |    |     |    |     |     |   |     |
Sex-0096|6R  |4124.814|10 13 16.00 -01 34 39.7|19.35| 0.99| 217.0| 5.2|     |    |     |    |     |     |   |     |
Sex-0097|1B  |3089.738|10 13 17.61 -01 30 07.3|20.39| 0.73| 222.3| 4.5| 0.21|0.06| 0.35|0.12|0.999|221.0|2.3| 0.36|0.06
Sex-0097|57B |3410.758|10 13 17.61 -01 30 07.3|20.39| 0.73| 222.7| 4.4| 0.38|0.05| 0.46|0.11|     |     |   |     |
Sex-0097|1B  |3411.775|10 13 17.61 -01 30 07.3|20.39| 0.73| 219.4| 3.3| 0.31|0.04| 0.30|0.09|     |     |   |     |
Sex-0098|1B  |3089.738|10 13 16.66 -01 32 41.4|19.95| 0.94| 219.6| 2.4| 0.38|0.03| 0.35|0.09|0.999|219.1|0.5| 0.33|0.06
Sex-0098|1B  |3411.775|10 13 16.66 -01 32 41.4|19.95| 0.94| 219.3| 0.6| 0.38|0.03| 0.31|0.07|     |     |   |     |
Sex-0098|1B  |4122.822|10 13 16.66 -01 32 41.4|19.95| 0.94| 218.5| 1.0|     |    |     |    |     |     |   |     |
Sex-0099|1B  |3089.738|10 13 19.55 -01 34 31.7|19.88| 0.96| 231.6| 5.0| 0.33|0.04| 0.40|0.09|0.998|     |   |     |
Sex-0100|1B  |3089.738|10 13 18.58 -01 34 50.1|18.04| 1.16| 231.3| 0.7| 0.35|0.02| 0.38|0.04|0.999|230.4|0.5| 0.37|0.03
Sex-0100|1R  |3411.775|10 13 18.58 -01 34 50.1|18.04| 1.16| 227.5| 1.9| 0.36|0.02| 0.35|0.08|     |     |   |     |
Sex-0100|6B  |3804.673|10 13 18.58 -01 34 50.1|18.04| 1.16| 228.8| 1.6| 0.34|0.04| 0.39|0.10|     |     |   |     |
Sex-0100|6B  |4124.814|10 13 18.58 -01 34 50.1|18.04| 1.16| 229.5| 1.3|     |    |     |    |     |     |   |     |
Sex-0101|1B  |3089.738|10 13 08.16 -01 44 50.1|18.35| 1.36| 198.1| 3.0| 0.32|0.04| 0.95|0.05|0.000|198.8|1.7| 0.87|0.04
Sex-0101|12R |3408.709|10 13 08.16 -01 44 50.1|18.35| 1.36| 198.9| 5.7| 0.24|0.02| 0.86|0.09|     |     |   |     |
Sex-0101|1R  |3411.775|10 13 08.16 -01 44 50.1|18.35| 1.36| 196.1| 7.2| 0.33|0.06| 0.64|0.11|     |     |   |     |
Sex-0101|5R  |3416.684|10 13 08.16 -01 44 50.1|18.35| 1.36| 201.8|10.5| 0.28|0.10| 0.69|0.13|     |     |   |     |
Sex-0101|1B  |4122.822|10 13 08.16 -01 44 50.1|18.35| 1.36| 199.4| 2.5|     |    |     |    |     |     |   |     |
Sex-0102|1B  |3089.738|10 13 10.20 -01 42 07.2|18.80| 1.09| 231.8| 1.7| 0.41|0.03| 0.58|0.07|0.989|231.3|1.6| 0.51|0.06
Sex-0102|5R  |3416.684|10 13 10.20 -01 42 07.2|18.80| 1.09| 229.5| 4.4| 0.33|0.04| 0.37|0.10|     |     |   |     |
Sex-0102|1R  |4122.822|10 13 10.20 -01 42 07.2|18.80| 1.09| 227.6| 7.0|     |    |     |    |     |     |   |     |
Sex-0103|1B  |3089.738|10 13 05.89 -01 44 51.5|18.45| 1.14| 222.2| 1.1| 0.44|0.03| 0.40|0.07|0.999|221.9|0.6| 0.40|0.04
Sex-0103|12R |3408.709|10 13 05.89 -01 44 51.5|18.45| 1.14| 225.8| 4.7| 0.40|0.03| 0.45|0.09|     |     |   |     |
Sex-0103|1R  |3411.775|10 13 05.89 -01 44 51.5|18.45| 1.14| 222.8| 2.7| 0.33|0.04| 0.33|0.10|     |     |   |     |
Sex-0103|5R  |3416.684|10 13 05.89 -01 44 51.5|18.45| 1.14| 221.9| 3.8| 0.34|0.04| 0.41|0.10|     |     |   |     |
Sex-0103|1B  |4122.822|10 13 05.89 -01 44 51.5|18.45| 1.14| 221.7| 0.7|     |    |     |    |     |     |   |     |
Sex-0104|1B  |3089.738|10 13 07.57 -01 41 13.0|19.34| 0.95| 226.3| 3.6| 0.35|0.06| 0.47|0.13|1.000|222.1|1.5| 0.33|0.07
Sex-0104|5B  |3091.698|10 13 07.57 -01 41 13.0|19.34| 0.95| 220.9| 1.7| 0.37|0.03| 0.28|0.08|     |     |   |     |
Sex-0104|1B  |4122.822|10 13 07.57 -01 41 13.0|19.34| 0.95| 224.4| 5.1|     |    |     |    |     |     |   |     |
Sex-0105|1B  |3089.738|10 13 08.57 -01 39 12.7|19.04| 0.80| 230.3| 4.6| 0.30|0.03| 0.29|0.08|1.000|     |   |     |
Sex-0106|1B  |3089.738|10 13 04.29 -01 34 58.8|18.44|     | 223.7| 1.1| 0.37|0.02| 0.42|0.05|1.000|223.8|0.9| 0.40|0.04
Sex-0106|57R |3410.758|10 13 04.29 -01 34 58.8|18.44|     | 222.5| 3.4| 0.32|0.05| 0.33|0.11|     |     |   |     |
Sex-0106|1R  |3411.775|10 13 04.29 -01 34 58.8|18.44|     | 224.1| 2.0| 0.32|0.03| 0.36|0.08|     |     |   |     |
Sex-0106|1R  |4122.822|10 13 04.29 -01 34 58.8|18.44|     | 225.4| 3.6|     |    |     |    |     |     |   |     |
