#Table: J/AJ/137/3100/table3.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
For-0034|4B  |4027.679|02 40 11.30 -34 33 28.7|19.35| 1.17|  82.8| 1.1|     |    |     |    |     |     |   |     |
For-0035|15B |3287.826|02 40 07.32 -34 33 53.9|19.23| 1.37|  51.8| 0.5| 0.52|0.02| 0.63|0.04|0.996|     |   |     |
For-0036|15B |3287.826|02 40 08.90 -34 34 09.8|19.24| 1.33|  58.3| 0.5| 0.54|0.03| 0.66|0.06|0.996|     |   |     |
For-0037|15B |3287.826|02 40 13.33 -34 34 44.3|19.36| 1.25|  47.3| 0.6| 0.54|0.03| 0.57|0.07|0.995|     |   |     |
For-0038|15B |3287.826|02 40 16.33 -34 37 00.2|19.34| 1.30|  43.6| 0.5| 0.47|0.03| 0.67|0.05|0.992|     |   |     |
For-0039|15B |3287.826|02 40 28.08 -34 43 21.1|19.88| 1.11|  59.5| 0.5| 0.48|0.04| 0.46|0.08|0.991|     |   |     |
For-0040|15B |3287.826|02 40 30.09 -34 43 06.6|21.00| 1.05|  74.3| 3.9| 0.02|0.23| 0.28|0.29|0.969|     |   |     |
For-0041|15B |3287.826|02 40 27.87 -34 43 03.4|21.39| 0.99|  57.8| 2.9| 0.50|0.11|-0.03|0.39|0.984|     |   |     |
For-0042|15B |3287.826|02 40 28.06 -34 42 18.1|21.40| 1.07|  54.7| 2.6| 0.43|0.10| 0.25|0.37|0.988|     |   |     |
For-0043|15B |3287.826|02 40 28.17 -34 41 51.5|21.08| 0.92|  41.8| 3.5| 0.34|0.12| 0.54|0.29|0.982|     |   |     |
For-0044|15B |3287.826|02 40 26.11 -34 41 03.8|19.40| 1.18|  69.6| 0.7| 0.61|0.04| 0.75|0.09|0.988|     |   |     |
For-0045|15B |3287.826|02 40 26.96 -34 43 42.8|18.45| 1.50|  24.8| 1.3| 0.55|0.06| 0.62|0.19|0.640| 21.1|0.7| 0.74|0.07
For-0045|592B|3666.797|02 40 26.96 -34 43 42.8|18.45| 1.50|  19.5| 0.8| 0.61|0.04| 0.76|0.08|     |     |   |     |
For-0046|15B |3287.826|02 40 21.89 -34 42 41.9|20.99| 1.07|  34.5| 4.4| 0.34|0.14| 0.27|0.42|0.100| 11.1|2.7| 0.46|0.27
For-0046|592B|3666.797|02 40 21.89 -34 42 41.9|20.99| 1.07|  -2.9| 3.4| 0.43|0.15| 0.58|0.34|     |     |   |     |
For-0047|15B |3287.826|02 40 23.65 -34 42 34.2|18.98| 1.52|  57.9| 0.8| 0.58|0.04| 0.78|0.07|0.992| 56.9|0.5| 0.74|0.04
For-0047|592B|3666.797|02 40 23.65 -34 42 34.2|18.98| 1.52|  56.3| 0.6| 0.54|0.03| 0.72|0.06|     |     |   |     |
For-0048|15B |3287.826|02 40 20.69 -34 29 56.5|19.25| 1.41|  83.4| 0.5| 0.45|0.04| 0.61|0.06|0.961| 84.4|0.3| 0.65|0.04
For-0048|4B  |4019.683|02 40 20.69 -34 29 56.5|19.25| 1.41|  81.7| 1.7| 0.51|0.05| 0.34|0.13|     |     |   |     |
For-0048|4B  |4021.610|02 40 20.69 -34 29 56.5|19.25| 1.41|  85.3| 0.4| 0.49|0.03| 0.72|0.05|     |     |   |     |
For-0049|15B |3287.826|02 40 22.79 -34 30 14.8|19.19| 1.30|  42.3| 0.4| 0.47|0.03| 0.47|0.06|0.992| 42.0|0.4| 0.54|0.04
For-0049|4B  |4019.683|02 40 22.79 -34 30 14.8|19.19| 1.30|  40.4| 0.9| 0.41|0.04| 0.64|0.07|     |     |   |     |
For-0050|15B |3287.826|02 40 24.18 -34 30 28.6|19.52| 1.33|  68.1| 0.5| 0.52|0.03| 0.57|0.07|0.994|     |   |     |
For-0051|15B |3287.826|02 40 16.19 -34 32 55.3|19.18| 1.26|  51.3| 0.5| 0.54|0.03| 0.76|0.04|0.994|     |   |     |
For-0052|15B |3287.826|02 40 17.03 -34 33 31.1|18.99| 1.09|  51.1| 0.8| 0.36|0.02| 0.39|0.05|0.988|     |   |     |
For-0053|15B |3287.826|02 40 21.94 -34 34 54.0|19.25| 1.20|  72.5| 0.4| 0.51|0.02| 0.60|0.05|0.989|     |   |     |
For-0054|15B |3287.826|02 40 22.09 -34 36 01.9|19.04| 1.21|  60.9| 0.4| 0.53|0.03| 0.64|0.05|0.995|     |   |     |
For-0055|15B |3287.826|02 40 24.73 -34 29 37.2|19.36| 1.10|  52.5| 0.6| 0.47|0.04| 0.60|0.08|0.996|     |   |     |
For-0056|15B |3287.826|02 40 25.43 -34 30 55.2|19.11| 1.07|  50.2| 0.7| 0.41|0.03| 0.46|0.06|0.988| 48.7|0.5| 0.39|0.05
