#Table: J/AJ/137/3100/table3.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
For-0451|29B |3665.772|02 41 04.56 -34 08 22.7|19.21| 1.03|  48.8| 0.6| 0.43|0.03| 0.41|0.06|0.985| 48.8|0.5| 0.41|0.05
For-0451|47R |4684.845|02 41 04.56 -34 08 22.7|19.21| 1.03|  48.6| 1.7| 0.36|0.04| 0.41|0.10|     |     |   |     |
For-0452|29B |3665.772|02 41 04.04 -34 09 48.9|19.18| 1.11|  71.1| 0.6| 0.39|0.02| 0.35|0.05|0.955| 71.2|0.6| 0.36|0.05
For-0452|47R |4684.845|02 41 04.04 -34 09 48.9|19.18| 1.11|  73.3| 3.0| 0.37|0.05| 0.39|0.12|     |     |   |     |
For-0453|29B |3665.772|02 41 06.93 -34 10 34.1|19.08| 1.19|  58.7| 0.4| 0.45|0.02| 0.52|0.04|0.994|     |   |     |
For-0454|29B |3665.772|02 41 04.95 -34 12 05.8|19.23| 1.08|  38.5| 1.5| 0.29|0.03| 0.33|0.06|0.921|     |   |     |
For-0455|29B |3665.772|02 41 03.18 -34 12 11.3|19.24| 1.27|  68.2| 0.4| 0.47|0.02| 0.55|0.04|0.991|     |   |     |
For-0456|29B |3665.772|02 41 04.31 -34 13 51.4|19.18| 1.22|  41.0| 0.6| 0.46|0.03| 0.61|0.06|0.988|     |   |     |
For-0457|29B |3665.772|02 40 58.22 -34 14 44.9|19.00| 1.22|  41.0| 0.5| 0.53|0.02| 0.62|0.05|0.988|     |   |     |
For-0458|29B |3665.772|02 41 17.63 -34 26 27.2|18.83| 1.20|  55.5| 1.9| 0.46|0.07| 0.51|0.14|0.992| 54.7|1.4| 0.47|0.08
For-0458|33B |4026.689|02 41 17.63 -34 26 27.2|18.83| 1.20|  53.6| 2.1| 0.49|0.04| 0.46|0.09|     |     |   |     |
For-0459|29B |3665.772|02 41 13.06 -34 24 31.6|19.21| 1.05|  64.2| 1.6| 0.47|0.05| 0.33|0.13|0.984| 64.7|1.6| 0.39|0.11
For-0459|33B |4026.689|02 41 13.06 -34 24 31.6|19.21| 1.05|  71.0| 5.8| 0.26|0.10| 0.51|0.20|     |     |   |     |
For-0460|29B |3665.772|02 41 04.26 -34 22 53.8|19.16| 1.26|  63.5| 1.5| 0.59|0.07| 0.75|0.13|0.991|     |   |     |
For-0461|29B |3665.772|02 41 07.70 -34 21 31.1|18.90| 1.23|  73.8| 0.4| 0.43|0.03| 0.51|0.05|0.983|     |   |     |
For-0462|29B |3665.772|02 41 01.82 -34 21 01.6|18.85| 1.18|  66.9| 0.8| 0.41|0.03| 0.39|0.07|0.979|     |   |     |
For-0463|29B |3665.772|02 41 09.05 -34 20 09.1|19.38| 1.27|  45.4| 0.6| 0.47|0.04| 0.51|0.08|0.990|     |   |     |
For-0464|29B |3665.772|02 41 05.36 -34 18 01.1|18.92| 1.14|  42.8| 0.5| 0.47|0.03| 0.55|0.06|0.989|     |   |     |
For-0465|29B |3665.772|02 41 03.52 -34 18 00.9|19.05| 1.10|  50.0| 0.6| 0.46|0.02| 0.57|0.05|0.994|     |   |     |
For-0466|29B |3665.772|02 41 06.03 -34 26 43.1|18.83| 1.18|  64.7| 0.8| 0.44|0.04| 0.50|0.08|0.993| 64.7|0.8| 0.58|0.07
For-0466|33B |4026.689|02 41 06.03 -34 26 43.1|18.83| 1.18|  64.1| 2.6| 0.48|0.07| 0.71|0.11|     |     |   |     |
For-0467|29B |3665.772|02 41 02.30 -34 25 13.8|19.24| 1.19|  75.5| 0.7| 0.53|0.04| 0.59|0.08|0.979| 75.4|0.6| 0.72|0.04
For-0467|33B |4026.689|02 41 02.30 -34 25 13.8|19.24| 1.19|  74.8| 1.4| 0.42|0.04| 0.78|0.05|     |     |   |     |
For-0468|29B |3665.772|02 41 03.44 -34 24 55.2|19.20| 1.13|  41.5| 1.4| 0.55|0.06| 0.37|0.13|0.973|     |   |     |
For-0469|29B |3665.772|02 41 04.70 -34 24 27.5|19.18| 1.14|  27.2| 0.9| 0.41|0.06| 0.47|0.11|0.864|     |   |     |
For-0470|29B |3665.772|02 41 02.32 -34 24 03.4|18.98| 1.30|  52.3| 0.5| 0.51|0.03| 0.64|0.06|0.994|     |   |     |
For-0471|29B |3665.772|02 40 59.87 -34 20 50.5|19.34| 1.20|  25.9| 1.1| 0.42|0.04| 0.51|0.09|0.853|     |   |     |
For-0472|29B |3665.772|02 40 58.74 -34 19 29.1|18.88| 1.19|  63.3| 0.5| 0.48|0.03| 0.55|0.06|0.993|     |   |     |
For-0473|29B |3665.772|02 41 01.06 -34 18 07.1|19.23| 1.29|  49.4| 0.5| 0.54|0.03| 0.61|0.06|0.994|     |   |     |
For-0474|29B |3665.772|02 41 16.45 -34 09 31.0|18.93| 1.11|  35.3| 0.8| 0.35|0.03| 0.41|0.06|0.944|     |   |     |
For-0475|29B |3665.772|02 41 20.01 -34 12 14.6|18.97| 1.22|  70.0| 0.5| 0.48|0.03| 0.54|0.05|0.989| 70.3|0.4| 0.53|0.04
For-0475|81B |4024.621|02 41 20.01 -34 12 14.6|18.97| 1.22|  71.5| 1.0| 0.50|0.03| 0.52|0.07|     |     |   |     |
For-0476|29B |3665.772|02 41 14.58 -34 12 37.9|19.10| 1.28|  53.6| 0.4| 0.53|0.02| 0.61|0.04|0.995| 53.5|0.3| 0.63|0.03
For-0476|81B |4024.621|02 41 14.58 -34 12 37.9|19.10| 1.28|  53.5| 0.5| 0.54|0.02| 0.66|0.04|     |     |   |     |
For-0477|29B |3665.772|02 41 23.20 -34 13 41.3|19.53| 1.34|  55.4| 0.5| 0.52|0.03| 0.54|0.06|0.994| 56.0|0.4| 0.52|0.05
For-0477|81B |4024.621|02 41 23.20 -34 13 41.3|19.53| 1.34|  58.2| 0.9| 0.52|0.03| 0.49|0.06|     |     |   |     |
For-0478|29B |3665.772|02 41 09.01 -34 14 47.6|19.23| 1.13|  31.6| 0.7| 0.35|0.03| 0.36|0.07|0.852|     |   |     |
For-0479|29B |3665.772|02 41 22.99 -34 15 43.4|19.26| 1.25|  44.5| 0.5| 0.52|0.04| 0.78|0.06|0.985|     |   |     |
For-0480|29B |3665.772|02 41 26.44 -34 11 12.7|19.12| 1.23|  57.5| 0.6| 0.48|0.04| 0.60|0.07|0.994| 57.5|0.4| 0.55|0.04
For-0480|81B |4024.621|02 41 26.44 -34 11 12.7|19.12| 1.23|  57.4| 0.6| 0.54|0.02| 0.53|0.05|     |     |   |     |
For-0481|29B |3665.772|02 41 30.58 -34 11 50.0|19.10| 1.29|  61.5| 0.5| 0.49|0.02| 0.52|0.05|0.988| 62.6|0.4| 0.54|0.04
For-0481|81B |4024.621|02 41 30.58 -34 11 50.0|19.10| 1.29|  64.0| 0.5| 0.49|0.02| 0.56|0.05|     |     |   |     |
For-0482|29B |3665.772|02 41 33.69 -34 13 07.5|19.34| 1.21|  55.6| 0.5| 0.47|0.03| 0.63|0.06|0.990| 55.2|0.4| 0.60|0.04
For-0482|81B |4024.621|02 41 33.69 -34 13 07.5|19.34| 1.21|  53.6| 0.9| 0.59|0.03| 0.57|0.06|     |     |   |     |
For-0483|29B |3665.772|02 41 25.44 -34 13 53.8|19.25| 1.40|  73.6| 5.3| 0.30|0.07| 0.70|0.12|0.985|     |   |     |
For-0484|29B |3665.772|02 41 25.88 -34 14 50.2|18.97| 1.30|  65.7| 0.5| 0.52|0.03| 0.65|0.05|0.993| 65.7|0.4| 0.66|0.04
For-0484|81B |4024.621|02 41 25.88 -34 14 50.2|18.97| 1.30|  65.7| 0.6| 0.51|0.03| 0.67|0.06|     |     |   |     |
For-0485|29B |3665.772|02 41 29.40 -34 15 17.7|19.15| 1.21|  64.7| 0.4| 0.50|0.03| 0.58|0.05|0.993| 64.8|0.4| 0.54|0.04
For-0485|81B |4024.621|02 41 29.40 -34 15 17.7|19.15| 1.21|  65.2| 1.6| 0.63|0.03| 0.45|0.08|     |     |   |     |
For-0486|29B |3665.772|02 41 36.78 -34 23 08.7|18.91| 1.33|  63.0| 1.4| 0.54|0.07| 0.57|0.16|0.992|     |   |     |
For-0487|29B |3665.772|02 41 34.68 -34 20 42.0|19.00| 1.34|  63.4| 0.7| 0.52|0.04| 0.75|0.07|0.991|     |   |     |
For-0488|29B |3665.772|02 41 25.28 -34 20 23.3|18.91| 1.15|  34.6| 0.6| 0.39|0.03| 0.44|0.06|0.950|     |   |     |
For-0489|29B |3665.772|02 41 27.79 -34 19 00.2|18.95| 1.24|  47.3| 0.5| 0.54|0.03| 0.76|0.05|0.989|     |   |     |
For-0490|29B |3665.772|02 41 19.13 -34 18 15.4|19.25| 1.10|  61.7| 0.6| 0.44|0.03| 0.62|0.07|0.994|     |   |     |
For-0491|29B |3665.772|02 41 25.60 -34 25 14.7|19.31| 1.16|  65.9| 0.9| 0.49|0.05| 0.85|0.08|0.981|     |   |     |
For-0492|29B |3665.772|02 41 16.09 -34 23 06.9|19.12| 1.26|  39.3| 1.2| 0.49|0.07| 0.84|0.15|0.975|     |   |     |
For-0493|29B |3665.772|02 41 16.21 -34 19 06.2|19.32| 1.13|  57.5| 1.6| 0.31|0.08| 0.84|0.13|0.990|     |   |     |
For-0494|29B |3665.772|02 41 14.69 -34 18 42.5|19.14| 1.29|  37.5| 0.7| 0.60|0.03| 0.67|0.08|0.980|     |   |     |
For-0495|29B |3665.772|02 41 12.16 -34 17 53.5|19.18| 1.19|  66.2| 0.4| 0.47|0.03| 0.77|0.05|0.988|     |   |     |
For-0496|29R |3665.772|02 40 31.92 -34 23 02.2|18.84| 1.33|  61.0|12.2|     |    | 0.66|0.40|0.992| 61.0|1.8| 0.79|0.11
For-0496|4B  |4019.683|02 40 31.92 -34 23 02.2|18.84| 1.33|  61.0| 1.8| 0.46|0.07| 0.80|0.11|     |     |   |     |
For-0497|29R |3665.772|02 41 13.90 -34 11 30.0|18.88| 1.31|  44.9| 3.5| 0.36|0.05| 0.48|0.11|0.990| 42.1|0.5| 0.62|0.04
For-0497|81B |4024.621|02 41 13.90 -34 11 30.0|18.88| 1.31|  42.1| 0.5| 0.54|0.02| 0.64|0.04|     |     |   |     |
For-0498|29R |3665.772|02 41 17.56 -34 13 07.2|18.48| 1.50|  53.8| 1.2| 0.45|0.03| 0.77|0.10|0.955| 53.9|0.4| 0.90|0.02
For-0498|81B |4024.621|02 41 17.56 -34 13 07.2|18.48| 1.50|  53.9| 0.4| 0.58|0.01| 0.91|0.02|     |     |   |     |
For-0499|29R |3665.772|02 41 39.09 -34 15 27.5|18.70| 1.17|  57.8| 5.4| 0.34|0.05| 0.18|0.10|0.178| 56.7|2.0| 0.10|0.05
For-0499|81B |4024.621|02 41 39.09 -34 15 27.5|18.70| 1.17|  56.5| 2.1| 0.41|0.03| 0.08|0.05|     |     |   |     |
For-0500|29R |3665.772|02 40 17.96 -34 14 15.0|18.77| 1.33|  53.8|10.7| 0.45|0.06| 0.53|0.14|0.991|     |   |     |
For-0501|29R |3665.772|02 40 21.67 -34 14 49.2|18.79| 1.44|  74.9| 3.3| 0.40|0.07| 0.55|0.13|0.983|     |   |     |
For-0502|29R |3665.772|02 40 17.25 -34 15 37.7|18.44| 1.38|  43.3| 5.7| 0.36|0.07| 0.46|0.12|0.987|     |   |     |
For-0503|29R |3665.772|02 40 22.58 -34 16 09.8|18.85| 1.40|  60.6| 3.4| 0.41|0.05| 0.59|0.12|0.994|     |   |     |
For-0504|29R |3665.772|02 40 20.81 -34 16 54.2|18.27| 1.47|  80.7| 4.7| 0.49|0.05| 0.54|0.12|0.968|     |   |     |
For-0505|29R |3665.772|02 40 20.75 -34 18 16.0|18.32| 1.35|  37.8| 5.1| 0.35|0.05| 0.33|0.12|0.982| 41.1|2.0| 0.45|0.08
For-0505|4R  |4019.683|02 40 20.75 -34 18 16.0|18.32| 1.35|  41.6| 2.1| 0.31|0.05| 0.53|0.11|     |     |   |     |
For-0506|29R |3665.772|02 40 13.64 -34 19 16.6|18.37| 1.47|  52.5| 9.9| 0.38|0.08| 0.50|0.17|0.993|     |   |     |
For-0507|29R |3665.772|02 40 30.52 -34 10 11.1|18.51| 1.25|  39.8| 2.8| 0.42|0.04| 0.33|0.11|0.915| 35.4|1.1| 0.35|0.07
For-0507|47R |4684.845|02 40 30.52 -34 10 11.1|18.51| 1.25|  34.6| 1.2| 0.42|0.04| 0.37|0.10|     |     |   |     |
For-0508|29R |3665.772|02 40 24.80 -34 11 34.1|18.70| 1.35|  56.8| 3.5| 0.38|0.05| 0.59|0.12|0.994|     |   |     |
For-0509|29R |3665.772|02 40 28.27 -34 12 29.9|18.54| 1.31|  62.6| 1.7| 0.41|0.04| 0.69|0.10|0.994|     |   |     |
For-0510|29R |3665.772|02 40 23.45 -34 12 57.3|19.11| 1.48|  46.9| 3.8| 0.36|0.09| 0.67|0.14|0.995| 52.5|0.9| 0.64|0.08
For-0510|47R |4684.845|02 40 23.45 -34 12 57.3|19.11| 1.48|  52.8| 0.9| 0.43|0.03| 0.63|0.09|     |     |   |     |
For-0511|29R |3665.772|02 40 24.97 -34 13 38.8|18.81| 1.42|  53.7| 2.0| 0.46|0.04| 0.58|0.10|0.995|     |   |     |
For-0512|29R |3665.772|02 40 33.44 -34 15 35.2|18.18| 1.41|  42.8| 1.2| 0.44|0.03| 0.63|0.09|0.991|     |   |     |
For-0513|29R |3665.772|02 40 30.13 -34 17 15.3|18.32| 1.47|  51.9| 1.4| 0.38|0.04| 0.71|0.10|0.994|     |   |     |
For-0514|29R |3665.772|02 40 36.23 -34 21 50.5|18.64| 1.33|  64.1| 6.0| 0.42|0.08| 0.36|0.16|0.987|     |   |     |
For-0515|29R |3665.772|02 40 23.54 -34 21 39.9|18.44| 1.36|  52.5| 7.6|     |    | 0.62|0.45|0.994| 45.8|1.0| 0.56|0.08
For-0515|4R  |4019.683|02 40 23.54 -34 21 39.9|18.44| 1.36|  44.7| 1.8| 0.47|0.05| 0.56|0.12|     |     |   |     |
For-0515|4R  |4027.679|02 40 23.54 -34 21 39.9|18.44| 1.36|  46.2| 1.2| 0.47|0.05| 0.55|0.11|     |     |   |     |
For-0516|29R |3665.772|02 40 41.75 -34 09 41.6|18.89| 1.37|  59.8| 9.1| 0.28|0.07| 0.33|0.14|0.977| 67.8|1.0| 0.38|0.08
For-0516|47R |4684.845|02 40 41.75 -34 09 41.6|18.89| 1.37|  67.8| 1.0| 0.32|0.03| 0.40|0.09|     |     |   |     |
For-0517|29R |3665.772|02 40 36.48 -34 13 55.4|18.70| 1.21|  55.6| 3.3| 0.48|0.05| 0.41|0.12|0.991|     |   |     |
For-0518|29R |3665.772|02 40 38.88 -34 14 20.5|18.43| 1.24|  58.6| 1.8| 0.40|0.03| 0.37|0.09|0.987|     |   |     |
For-0519|29R |3665.772|02 40 42.26 -34 14 30.4|18.45| 1.49|  73.5| 1.9| 0.38|0.04| 0.57|0.09|0.987|     |   |     |
For-0520|29R |3665.772|02 40 39.61 -34 14 59.6|18.26| 1.35|  50.1| 1.7| 0.48|0.04| 0.68|0.10|0.994|     |   |     |
For-0521|29R |3665.772|02 40 42.43 -34 16 40.8|18.59| 1.39|  66.9| 2.0| 0.42|0.05| 0.63|0.11|0.993|     |   |     |
For-0522|29R |3665.772|02 40 42.31 -34 17 20.7|18.74| 1.30|  69.4| 5.1| 0.41|0.05| 0.47|0.12|0.988|     |   |     |
For-0523|29R |3665.772|02 40 51.06 -34 10 52.1|18.77| 1.20|  59.6| 4.5| 0.35|0.06| 0.53|0.11|0.983| 72.3|1.0| 0.49|0.07
For-0523|47R |4684.845|02 40 51.06 -34 10 52.1|18.77| 1.20|  73.0| 1.0| 0.39|0.02| 0.47|0.08|     |     |   |     |
For-0524|29R |3665.772|02 40 47.31 -34 11 44.0|18.79| 1.42|  56.4| 1.6| 0.44|0.04| 0.81|0.10|0.993| 55.1|0.8| 0.74|0.07
For-0524|47R |4684.845|02 40 47.31 -34 11 44.0|18.79| 1.42|  54.7| 1.0| 0.40|0.03| 0.68|0.09|     |     |   |     |
For-0525|29R |3665.772|02 40 54.09 -34 12 38.7|18.76| 1.35|  62.0| 4.1| 0.37|0.05| 0.55|0.11|0.993|     |   |     |
For-0526|29R |3665.772|02 40 50.71 -34 13 15.4|18.67| 1.20|  67.3| 1.6| 0.47|0.03| 0.48|0.09|0.989|     |   |     |
For-0527|29R |3665.772|02 40 48.14 -34 13 32.6|18.31| 1.69|  27.0| 9.9| 0.32|0.07| 0.56|0.13|0.950|     |   |     |
For-0528|29R |3665.772|02 40 48.74 -34 13 55.4|18.79| 1.40|  62.5| 3.8| 0.36|0.09| 0.77|0.12|0.991|     |   |     |
For-0529|29R |3665.772|02 40 53.97 -34 15 31.5|18.66| 1.54|  41.3| 6.4| 0.36|0.17| 0.97|0.13|0.959|     |   |     |
For-0530|29R |3665.772|02 40 47.26 -34 20 22.3|18.60| 1.17|  53.5|11.2| 0.21|0.23| 0.56|0.17|0.991|     |   |     |
For-0531|29R |3665.772|02 40 46.22 -34 17 21.6|18.96| 1.37|  67.2| 4.8| 0.36|0.09| 0.66|0.14|0.992|     |   |     |
For-0532|29R |3665.772|02 40 54.44 -34 13 56.3|18.68| 1.37|  59.6| 2.7| 0.35|0.05| 0.60|0.11|0.993|     |   |     |
For-0533|29R |3665.772|02 40 54.69 -34 14 35.9|18.82| 1.23|  17.1|11.5| 0.43|0.04| 0.23|0.12|0.544|     |   |     |
For-0534|29R |3665.772|02 40 56.51 -34 14 52.6|18.61| 1.40|  55.0| 3.5| 0.42|0.05| 0.55|0.11|0.993|     |   |     |
For-0535|29R |3665.772|02 41 02.51 -34 15 17.7|18.30| 1.33|  40.4| 3.0| 0.38|0.04| 0.50|0.10|0.983|     |   |     |
For-0536|29R |3665.772|02 41 00.64 -34 15 55.1|18.25| 1.56|  58.3| 1.4| 0.37|0.04| 0.65|0.10|0.994|     |   |     |
For-0537|29R |3665.772|02 41 01.60 -34 16 20.1|18.74| 1.29|  64.9| 2.6| 0.49|0.04| 0.51|0.11|0.991|     |   |     |
For-0538|29R |3665.772|02 40 58.38 -34 08 02.4|18.52| 1.55|  50.5| 7.5| 0.43|0.05| 0.55|0.11|0.994| 51.8|1.0| 0.60|0.07
For-0538|47R |4684.845|02 40 58.38 -34 08 02.4|18.52| 1.55|  51.9| 1.0| 0.41|0.02| 0.63|0.09|     |     |   |     |
For-0539|29R |3665.772|02 41 06.16 -34 11 52.8|18.67| 1.41|  59.7| 2.0| 0.38|0.06| 0.81|0.10|0.990|     |   |     |
For-0540|29R |3665.772|02 41 00.61 -34 12 54.6|18.80| 1.32|  53.9| 1.6| 0.41|0.04| 0.71|0.10|0.993|     |   |     |
For-0541|29R |3665.772|02 40 59.71 -34 13 24.7|18.74| 1.34|  53.5| 6.4| 0.35|0.06| 0.54|0.13|0.992|     |   |     |
For-0542|29R |3665.772|02 41 10.48 -34 14 59.7|18.55| 1.29|  77.1| 1.7| 0.42|0.03| 0.50|0.09|0.971|     |   |     |
For-0543|29R |3665.772|02 41 10.10 -34 15 44.4|18.76| 1.18|  69.4| 4.1| 0.35|0.05| 0.40|0.11|0.980|     |   |     |
For-0544|29R |3665.772|02 41 11.21 -34 16 20.5|18.83| 1.31|  55.4| 1.4| 0.47|0.04| 0.72|0.10|0.993|     |   |     |
For-0545|29R |3665.772|02 41 05.84 -34 27 04.8|18.58| 1.35|  55.0| 5.7|     |    |     |    |0.989|     |   |     |
For-0546|29R |3665.772|02 41 03.75 -34 25 27.1|18.48| 1.40|  69.0| 4.5| 0.41|0.06| 0.58|0.12|0.989|     |   |     |
For-0547|29R |3665.772|02 40 55.17 -34 22 55.3|18.72| 1.51|  74.4| 9.5| 0.51|0.09| 0.61|0.16|0.987|     |   |     |
For-0548|29R |3665.772|02 40 59.39 -34 20 23.7|18.61| 1.38|  91.3| 2.7| 0.40|0.05| 0.62|0.11|0.780|     |   |     |
For-0549|29R |3665.772|02 40 51.95 -34 18 58.0|18.81| 1.45|  51.1| 8.1| 0.41|0.08| 0.69|0.13|0.993|     |   |     |
For-0550|29R |3665.772|02 41 06.53 -34 07 41.6|18.92| 1.38|  52.5| 1.8| 0.38|0.04| 0.72|0.10|0.994| 51.0|0.9| 0.68|0.07
For-0550|47R |4684.845|02 41 06.53 -34 07 41.6|18.92| 1.38|  50.6| 1.0| 0.43|0.03| 0.65|0.09|     |     |   |     |
For-0551|29R |3665.772|02 41 08.36 -34 09 00.8|18.75| 1.46|   4.5| 4.7| 0.26|0.07| 0.65|0.11|0.044|     |   |     |
For-0552|29R |3665.772|02 41 11.50 -34 09 24.0|18.68| 1.36|  61.6| 1.1| 0.47|0.03| 0.68|0.09|0.993|     |   |     |
For-0553|29R |3665.772|02 41 15.68 -34 15 45.7|18.34| 1.44|  59.0| 1.3| 0.43|0.03| 0.69|0.09|0.994|     |   |     |
For-0554|29R |3665.772|02 41 32.94 -34 16 44.5|18.61| 1.46|  64.4| 1.3| 0.43|0.03| 0.64|0.10|0.993|     |   |     |
For-0555|29R |3665.772|02 41 36.15 -34 17 17.8|18.66| 1.30|  60.4| 2.0| 0.40|0.04| 0.60|0.10|0.994|     |   |     |
For-0556|29R |3665.772|02 41 38.70 -34 17 40.2|18.66| 1.46|  54.5| 2.1| 0.47|0.05| 0.42|0.13|0.980|     |   |     |
For-0557|29R |3665.772|02 41 41.30 -34 17 36.4|18.57| 1.27|  39.0| 3.7| 0.37|0.03| 0.36|0.09|0.918|     |   |     |
For-0558|29R |3665.772|02 41 23.13 -34 25 20.9|18.26| 1.27|  51.0| 6.3| 0.41|0.04| 0.33|0.11|0.978|     |   |     |
For-0559|29R |3665.772|02 41 32.41 -34 22 56.2|18.32| 1.61|  65.3| 2.1| 0.43|0.04| 0.59|0.11|0.992|     |   |     |
For-0560|29R |3665.772|02 41 24.86 -34 22 04.6|18.23| 1.56|  63.2| 2.5| 0.48|0.04| 0.59|0.11|0.993|     |   |     |
For-0561|29R |3665.772|02 41 31.32 -34 21 41.6|18.77| 1.40|  60.3|10.4| 0.23|0.14| 0.79|0.17|0.989|     |   |     |
For-0562|29R |3665.772|02 41 25.67 -34 21 03.5|18.76| 1.34|  73.8| 1.8| 0.37|0.05| 0.72|0.10|0.983|     |   |     |
For-0563|29R |3665.772|02 41 42.88 -34 20 06.6|18.78| 1.39|  56.1| 2.3| 0.41|0.06| 0.74|0.11|0.986|     |   |     |
For-0564|29R |3665.772|02 41 32.92 -34 19 52.6|18.32| 1.31|  61.2| 1.9| 0.37|0.04| 0.42|0.10|0.989|     |   |     |
For-0565|29R |3665.772|02 41 37.22 -34 19 06.0|18.84| 1.29|  50.4| 2.9| 0.41|0.05| 0.55|0.11|0.993|     |   |     |
For-0566|29R |3665.772|02 41 15.49 -34 24 37.8|18.66| 1.37|  63.2| 4.2| 0.32|0.08| 0.78|0.12|0.990|     |   |     |
For-0567|29R |3665.772|02 41 20.82 -34 23 59.1|18.38| 1.57|  71.7| 2.3| 0.51|0.05| 0.64|0.12|0.986|     |   |     |
For-0568|29R |3665.772|02 41 21.78 -34 23 23.6|18.45| 1.41|  71.2| 2.6| 0.41|0.03| 0.46|0.09|0.982|     |   |     |
For-0569|29R |3665.772|02 41 12.28 -34 21 53.2|18.49| 1.50|  60.2| 1.3| 0.44|0.03| 0.67|0.09|0.994|     |   |     |
For-0570|29R |3665.772|02 41 06.88 -34 18 25.5|18.20| 1.46|  54.4| 1.3| 0.42|0.03| 0.49|0.09|0.993|     |   |     |
For-0571|29R |3665.772|02 41 09.64 -34 17 21.5|18.61| 1.44|  40.1| 1.2| 0.41|0.04| 0.70|0.10|0.984|     |   |     |
For-0572|34B |3666.655|02 38 47.91 -34 44 42.0|19.30| 1.24|  51.7| 0.5| 0.57|0.02| 0.65|0.05|0.994|     |   |     |
For-0573|34B |3666.655|02 38 53.60 -34 45 20.6|19.00| 1.36|  50.1| 0.5| 0.46|0.02| 0.63|0.04|0.995| 50.2|0.4| 0.62|0.03
For-0573|9B  |4022.782|02 38 53.60 -34 45 20.6|19.00| 1.36|  47.4| 2.8| 0.39|0.06| 0.81|0.10|     |     |   |     |
For-0573|9B  |4025.635|02 38 53.60 -34 45 20.6|19.00| 1.36|  50.5| 0.6| 0.47|0.02| 0.55|0.05|     |     |   |     |
For-0574|34B |3666.655|02 38 42.32 -34 45 42.7|19.07| 1.36|  48.2| 0.5| 0.50|0.03| 0.58|0.06|0.994| 48.6|0.5| 0.65|0.05
For-0574|9B  |4020.689|02 38 42.32 -34 45 42.7|19.07| 1.36|  53.0| 1.9| 0.47|0.05| 0.78|0.09|     |     |   |     |
For-0575|34B |3666.655|02 38 47.53 -34 46 25.3|19.19| 1.12|  48.4| 0.8| 0.51|0.03| 0.56|0.07|0.993| 48.3|0.6| 0.55|0.05
For-0575|9B  |4025.635|02 38 47.53 -34 46 25.3|19.19| 1.12|  48.1| 1.0| 0.42|0.03| 0.53|0.06|     |     |   |     |
For-0576|34B |3666.655|02 38 48.85 -34 46 27.1|19.11| 1.11|  63.6| 0.8| 0.41|0.02| 0.39|0.05|0.986| 63.7|0.7| 0.42|0.04
For-0576|9B  |4022.782|02 38 48.85 -34 46 27.1|19.11| 1.11|  65.0| 3.4| 0.16|0.08| 0.59|0.13|     |     |   |     |
For-0576|9B  |4025.635|02 38 48.85 -34 46 27.1|19.11| 1.11|  63.8| 1.4| 0.40|0.03| 0.43|0.06|     |     |   |     |
For-0577|34B |3666.655|02 38 45.99 -34 48 22.4|19.26| 1.28|  58.0| 2.8| 0.34|0.04| 0.46|0.08|0.991|     |   |     |
For-0578|34B |3666.655|02 39 00.58 -34 45 06.2|19.08| 1.26|  53.3| 0.5| 0.52|0.02| 0.54|0.05|0.994| 53.4|0.5| 0.54|0.05
For-0578|9B  |4022.782|02 39 00.58 -34 45 06.2|19.08| 1.26|  55.7| 3.6| 0.54|0.06| 0.44|0.19|     |     |   |     |
For-0579|34B |3666.655|02 38 55.87 -34 47 33.1|19.15| 1.27|  48.3| 1.1| 0.38|0.03| 0.34|0.08|0.990| 48.6|1.0| 0.46|0.07
For-0579|9B  |4020.689|02 38 55.87 -34 47 33.1|19.15| 1.27|  49.7| 2.2| 0.42|0.06| 0.64|0.10|     |     |   |     |
For-0580|34B |3666.655|02 38 55.70 -34 48 02.2|18.73| 1.26|  62.8| 0.4| 0.44|0.02| 0.52|0.04|0.993| 62.8|0.4| 0.50|0.04
For-0580|9B  |4022.782|02 38 55.70 -34 48 02.2|18.73| 1.26|  57.4| 4.1| 0.46|0.05| 0.20|0.16|     |     |   |     |
For-0580|9R  |4025.635|02 38 55.70 -34 48 02.2|18.73| 1.26|  67.2| 4.9| 0.54|0.06| 0.56|0.14|     |     |   |     |
For-0581|34B |3666.655|02 38 58.31 -34 48 01.4|19.01| 1.33|  61.2| 0.5| 0.52|0.02| 0.73|0.04|0.992| 61.2|0.5| 0.74|0.03
For-0581|9B  |4020.689|02 38 58.31 -34 48 01.4|19.01| 1.33|  61.2| 1.2| 0.55|0.05| 0.84|0.07|     |     |   |     |
For-0581|9R  |4025.635|02 38 58.31 -34 48 01.4|19.01| 1.33|  62.0| 8.2| 0.33|0.08| 0.54|0.12|     |     |   |     |
For-0582|34B |3666.655|02 39 00.38 -34 48 48.7|18.79| 1.27|  79.4| 0.5| 0.50|0.02| 0.77|0.03|0.947|     |   |     |
